year,team_name,player_name,jersey_num,position,avg,gp,gs,ab,r,h,2b,3b,hr,rbi,tb,slg,bb,hbp,so,gdp,obp,sf,sh,sb,sb_att,po,a,e,fld
2025,Hutchinson Monarchs,Jake Gutierrez,27,,0.552,7,7,29,11,16,3,0,0,10,19,0.655,3,0,3,1,0.559,2,0,1,1,14,0,1,0.933
2025,Hutchinson Monarchs,Drew Bugner,13,,0.467,7,7,30,10,14,2,0,0,11,16,0.533,3,0,5,4,0.500,1,0,1,1,10,11,0,1.000
2025,Hutchinson Monarchs,Blake Bradford,10,,0.389,6,6,18,6,7,2,0,0,3,9,0.500,3,5,1,0,0.577,0,0,1,2,4,5,0,1.000
2025,Hutchinson Monarchs,Jaden Gustafson,14,,0.385,7,7,26,9,10,4,1,0,8,16,0.615,5,0,1,0,0.484,0,0,1,1,10,1,0,1.000
2025,Hutchinson Monarchs,Dylan Bell,18,,0.368,7,7,19,8,7,2,0,1,5,12,0.632,4,4,5,0,0.556,0,0,1,1,14,0,1,0.933
2025,Hutchinson Monarchs,Tyson Vassart,36,,0.273,6,6,22,3,6,2,0,0,6,8,0.364,2,2,5,2,0.370,1,0,0,0,0,0,0,
2025,Hutchinson Monarchs,Keegan Demmer,20,,0.267,5,4,15,3,4,1,0,0,3,5,0.333,5,0,5,1,0.450,0,0,0,0,32,2,0,1.000
2025,Hutchinson Monarchs,AJ Mustow,35,,0.190,6,5,21,4,4,0,1,0,5,6,0.286,1,1,6,0,0.261,0,0,0,0,22,4,0,1.000
2025,Hutchinson Monarchs,Jake Knox,33,,0.400,4,3,10,1,4,1,0,0,3,5,0.500,0,1,2,0,0.455,0,0,0,0,27,3,0,1.000
2025,Hutchinson Monarchs,JJ Spafford,2,,0.308,5,4,13,5,4,0,0,0,1,4,0.308,3,0,3,0,0.438,0,1,2,2,3,6,1,0.900
2025,Hutchinson Monarchs,Joey Senstock,11,,0.200,5,4,15,3,3,2,0,0,2,5,0.333,2,0,8,0,0.294,0,0,0,0,0,13,0,1.000
2025,Hutchinson Monarchs,Jackson Legg,21,,0.000,5,3,10,0,0,0,0,0,0,0,0.000,1,1,2,0,0.167,0,0,0,0,22,0,0,1.000
2025,Hutchinson Monarchs,Jarrett Herrmann,3,,0.000,3,0,3,0,0,0,0,0,0,0,0.000,0,0,2,0,0.000,0,0,0,0,4,0,2,0.667
2025,Lonestar Kraken TX,Kenner Lauterbach,42,,0.391,7,6,23,6,9,1,0,0,0,10,0.435,1,0,4,0,0.417,0,0,0,0,6,18,3,0.889
2025,Lonestar Kraken TX,Kado Robardy,2,,0.389,7,7,18,8,7,1,0,0,3,8,0.444,9,0,1,0,0.593,0,0,2,3,9,0,1,0.900
2025,Lonestar Kraken TX,Preston Curtis,13,,0.375,6,6,24,4,9,3,0,0,10,12,0.500,2,1,3,0,0.429,1,0,3,3,11,0,0,1.000
2025,Lonestar Kraken TX,JT Simonelli,67,,0.296,7,7,27,7,8,2,0,0,3,10,0.370,4,3,9,1,0.429,1,0,1,2,21,1,2,0.917
2025,Lonestar Kraken TX,Chase Pendley,1,,0.294,6,6,17,6,5,2,0,0,5,7,0.412,8,2,4,1,0.517,2,0,2,3,6,15,0,1.000
2025,Lonestar Kraken TX,Ethan Ho,20,,0.269,6,6,26,3,7,3,0,1,4,13,0.500,2,0,7,2,0.321,0,0,0,0,49,1,2,0.962
2025,Lonestar Kraken TX,Josh Livingston,45,,0.222,7,7,27,5,6,1,0,2,11,13,0.481,6,0,8,0,0.343,2,0,1,1,38,10,0,1.000
2025,Lonestar Kraken TX,Diego Gonzalez,9,,0.143,6,5,21,3,3,0,0,1,4,6,0.286,4,1,3,0,0.296,1,0,0,0,21,0,0,1.000
2025,Lonestar Kraken TX,Major Brignon,21,,0.133,7,6,15,5,2,0,1,0,4,4,0.267,4,2,6,0,0.381,0,3,1,2,6,10,0,1.000
2025,Lonestar Kraken TX,Jax Marshall,56,,0.250,6,5,12,3,3,0,1,0,1,5,0.417,5,1,5,0,0.500,0,0,2,2,6,0,0,1.000
2025,Lonestar Kraken TX,Jacob Manaska,5,,0.000,1,1,4,0,0,0,0,0,0,0,0.000,0,0,2,0,0.000,0,0,0,0,0,1,0,1.000
2025,Lonestar Kraken TX,Grant Nekuza,0,,0.000,2,1,2,0,0,0,0,0,0,0,0.000,2,0,1,0,0.500,0,0,1,1,0,0,0,
2025,Lonestar Kraken TX,Micah Melott,00,,0.000,2,0,1,2,0,0,0,0,0,0,0.000,0,0,1,0,0.000,0,0,0,0,1,1,0,1.000
2025,Hays Larks,Thomas Lyssy,15,,0.350,5,5,20,4,7,0,0,0,5,7,0.350,3,1,4,0,0.440,1,0,0,0,2,7,1,0.900
2025,Hays Larks,Taber Stokes,6,,0.333,5,5,24,5,8,2,0,1,6,13,0.542,1,0,5,0,0.360,0,0,4,5,9,14,2,0.920
2025,Hays Larks,Trent Baker,2,,0.286,4,4,14,6,4,2,0,0,3,6,0.429,5,2,3,0,0.524,0,0,10,11,4,1,2,0.714
2025,Hays Larks,Wilbert Espinal,33,,0.231,5,3,13,0,3,1,0,0,2,4,0.308,4,0,5,0,0.412,0,0,0,0,0,0,0,
2025,Hays Larks,Kaleb Duncan,12,,0.211,5,5,19,2,4,0,0,0,1,4,0.211,6,0,3,0,0.400,0,0,3,3,11,1,0,1.000
2025,Hays Larks,Lane Sparks,8,,0.190,5,5,21,3,4,2,0,0,4,6,0.286,5,0,10,0,0.346,0,0,6,6,8,0,1,0.889
2025,Hays Larks,Jackson Babcock,5,,0.154,4,3,13,2,2,1,0,0,2,3,0.231,1,0,2,0,0.200,1,0,0,0,21,3,1,0.960
2025,Hays Larks,CJ Reid,1,,0.125,5,5,16,3,2,1,0,0,4,3,0.188,5,0,5,0,0.333,0,0,1,2,9,8,0,1.000
2025,Hays Larks,Brady Kreutzer,4,,0.100,4,3,10,4,1,0,0,0,0,1,0.100,5,0,4,0,0.400,0,0,1,1,1,0,0,1.000
2025,Hays Larks,Lorenzo Rios,21,,0.455,3,3,11,3,5,0,0,0,2,5,0.455,1,1,2,0,0.538,0,1,1,1,32,2,0,1.000
