year,team_name,player_name,jersey_num,position,era,g,w,l,app,gs,cg,sho,cbo,sv,ip,h,r,er,doubles,triples,hr,bb,so,ab,b_avg,hb,wp,bk,sfa,sha
2025,Hutchinson Monarchs,Keegan Demmer,20,,0.00,2,1,0,2,1,1,1,0,0,13.0,9,0,0,1,0,0,1,17,47,0.191,0,0,0,0,0
2025,Hutchinson Monarchs,AJ Mustow,35,,0.00,2,1,0,2,1,0,0,0,0,7.0,1,0,0,0,0,0,0,12,22,0.045,0,0,0,0,0
2025,Hutchinson Monarchs,Jackson Legg,21,,0.00,2,1,0,2,1,1,0,0,0,12.0,7,0,0,1,0,0,3,10,41,0.171,2,1,0,0,0
2025,Hutchinson Monarchs,Joey Senstock,11,,0.71,2,1,0,2,1,0,0,0,0,12.2,13,2,1,3,0,0,3,7,47,0.277,1,1,0,0,0
2025,Hutchinson Monarchs,Jake Knox,33,,1.93,2,1,0,2,2,0,0,0,0,9.1,5,2,2,1,0,0,5,7,30,0.167,1,0,0,0,0
2025,Hutchinson Monarchs,JJ Spafford,2,,2.08,3,0,0,3,0,0,0,0,1,4.1,3,1,1,0,0,0,0,5,14,0.214,0,0,0,0,0
2025,Hutchinson Monarchs,Blake Bradford,10,,5.63,2,0,0,2,0,0,0,0,0,8.0,11,5,5,2,0,0,3,2,33,0.333,3,1,0,0,0
2025,Hutchinson Monarchs,Drew Bugner,13,,7.36,2,0,0,2,0,0,0,0,0,3.2,6,3,3,1,0,0,0,2,16,0.375,0,0,0,0,0
2025,Hutchinson Monarchs,Jarrett Herrmann,3,,9.00,1,0,0,1,0,0,0,0,0,1.0,3,1,1,0,0,0,0,1,6,0.500,0,0,0,0,0
2025,Hutchinson Monarchs,Jaden Gustafson,14,,10.80,1,0,0,1,0,0,0,0,0,1.2,2,2,2,1,0,0,1,1,7,0.286,0,0,0,0,0
2025,Hutchinson Monarchs,Dylan Bell,18,,13.50,1,0,0,1,0,0,0,0,0,0.2,1,1,1,1,0,0,1,0,3,0.333,0,0,0,0,0
2025,Hutchinson Monarchs,Jake Gutierrez,27,,27.00,1,0,0,1,0,0,0,0,0,0.1,1,1,1,0,0,0,0,0,2,0.500,0,0,0,0,0
2025,Hutchinson Monarchs,Tyson Vassart,36,,INF,1,0,0,1,0,0,0,0,0,0.0,3,2,2,0,0,0,0,0,3,1.000,0,0,0,0,0
2025,Lonestar Kraken TX,Jacob Manaska,5,,0.00,2,1,0,2,2,0,0,0,0,11.0,7,0,0,1,1,0,2,11,39,0.179,0,1,0,0,0
2025,Lonestar Kraken TX,Josh Livingston,45,,0.00,2,1,0,2,1,0,0,0,0,6.0,5,0,0,0,0,0,1,4,20,0.250,0,0,0,0,0
2025,Lonestar Kraken TX,Grant Nekuza,0,,0.00,2,1,0,2,1,0,0,0,0,5.0,1,0,0,0,1,0,0,5,15,0.067,0,0,0,0,0
2025,Lonestar Kraken TX,Major Brignon,21,,1.00,3,1,0,3,1,0,0,0,0,9.0,5,2,1,0,1,0,0,9,31,0.161,1,1,0,0,0
2025,Lonestar Kraken TX,Jax Marshall,56,,4.91,3,0,1,3,1,0,0,0,0,7.1,10,4,4,2,0,0,4,10,30,0.333,0,0,0,0,0
