Team,Record,Player,AB,R,H,2B,3B,HR,SB,SH,RBI,PO,A,E,Pct
ST. JOSEPH AUTOS,7-1,Decker,33,8,12,1,0,0,2,2,7,9,0,0,0.364
ST. JOSEPH AUTOS,7-1,Snyder,28,6,10,4,1,0,0,0,7,9,0,1,0.357
ST. JOSEPH AUTOS,7-1,Tucker,30,6,10,3,0,0,0,1,7,60,0,1,0.333
ST. JOSEPH AUTOS,7-1,Todhunter,28,6,9,3,0,0,1,1,4,12,18,2,0.321
ST. JOSEPH AUTOS,7-1,Henshaw,13,4,4,0,0,0,0,0,2,4,0,0,0.308
ST. JOSEPH AUTOS,7-1,Kovach,31,5,9,0,0,0,1,0,2,9,0,0,0.29
ST. JOSEPH AUTOS,7-1,McCoy,28,8,7,2,1,0,0,2,8,14,24,3,0.25
ST. JOSEPH AUTOS,7-1,Austin,28,7,6,1,1,0,0,1,5,3,16,3,0.214
ST. JOSEPH AUTOS,7-1,Tighe,24,8,5,1,0,0,0,2,4,83,3,2,0.208
ST. JOSEPH AUTOS,7-1,Piechota,9,0,1,0,0,0,0,1,0,0,9,0,0.111
ST. JOSEPH AUTOS,7-1,Rudolph,3,0,0,0,0,0,0,0,0,0,1,0,0.0
ST. JOSEPH AUTOS,7-1,Nordquist,3,0,0,0,0,0,0,0,0,0,0,0,0.0
ST. JOSEPH AUTOS,7-1,Kirchoff,2,1,0,0,0,0,0,0,0,3,0,0,0.0
ST. JOSEPH AUTOS,7-1,Bukovich,1,0,0,0,0,0,0,0,0,0,0,0,0.0
CARMICHAEL FIREMEN,6-2,Lollis,12,4,5,1,1,0,0,0,2,1,3,0,0.417
CARMICHAEL FIREMEN,6-2,Dufour,32,7,11,1,1,0,0,1,6,13,21,2,0.344
CARMICHAEL FIREMEN,6-2,Hanscom,32,9,11,1,1,0,0,0,3,76,2,2,0.344
CARMICHAEL FIREMEN,6-2,Smith,29,4,10,1,0,0,5,3,5,16,1,1,0.345
CARMICHAEL FIREMEN,6-2,Torchia,3,0,1,0,0,0,0,0,0,1,0,0,0.333
CARMICHAEL FIREMEN,6-2,Androvich,29,3,9,2,1,0,2,2,5,14,22,7,0.31
CARMICHAEL FIREMEN,6-2,Perry,12,3,3,0,0,0,1,0,3,10,4,3,0.25
CARMICHAEL FIREMEN,6-2,Roderick,4,0,1,0,0,0,0,1,0,1,5,1,0.25
CARMICHAEL FIREMEN,6-2,Quadros,21,3,5,1,0,0,0,0,2,40,1,0,0.238
CARMICHAEL FIREMEN,6-2,Zutz,29,3,6,0,1,0,3,0,4,15,2,1,0.207
CARMICHAEL FIREMEN,6-2,Dutra,31,4,5,1,0,0,1,0,3,13,1,0,0.161
CARMICHAEL FIREMEN,6-2,Davey,8,0,1,0,0,0,0,0,1,1,6,0,0.125
CARMICHAEL FIREMEN,6-2,Parino,27,6,3,1,0,0,1,1,1,15,27,2,0.111
CARMICHAEL FIREMEN,6-2,Rico,1,0,0,0,0,0,0,0,1,0,0,0,0.0
CARMICHAEL FIREMEN,6-2,Enos,0,0,0,0,0,0,0,0,0,0,0,0,0.0
WACO DONS,6-2,Godfrey,2,0,1,0,0,0,0,1,0,0,4,1,0.5
WACO DONS,6-2,Russell,23,3,8,3,0,0,1,0,3,7,0,0,0.348
WACO DONS,6-2,Redding,26,10,9,0,0,4,0,3,10,26,2,0,0.346
WACO DONS,6-2,Morrow,30,5,10,1,0,0,1,0,6,93,0,1,0.333
WACO DONS,6-2,Hillin,9,0,3,0,0,0,0,1,1,0,4,1,0.333
WACO DONS,6-2,Zomlefer,26,8,8,1,0,0,1,3,7,5,23,2,0.308
WACO DONS,6-2,Deaton,13,8,4,0,0,0,0,1,0,29,7,3,0.308
WACO DONS,6-2,Pfeil,30,3,8,0,2,0,1,1,7,11,1,0,0.267
WACO DONS,6-2,Gilmore,31,7,8,2,2,0,1,0,8,11,1,0,0.258
WACO DONS,6-2,Avera,4,1,1,1,0,0,0,1,1,0,3,0,0.25
WACO DONS,6-2,Barkley,32,8,7,3,0,0,1,1,6,15,26,4,0.219
WACO DONS,6-2,Bramlett,5,0,1,0,0,0,0,0,0,0,5,0,0.2
WACO DONS,6-2,Chandler,16,1,1,0,1,0,0,0,1,16,0,0,0.063
WACO DONS,6-2,Lindloff,6,0,0,0,0,0,0,0,0,1,0,0,0.0
WACO DONS,6-2,Shearin,2,0,0,0,0,0,0,0,0,0,2,0,0.0
CAMP LEE,5-3,Hoch,29,4,10,0,0,0,1,2,3,1,2,5,0.345
CAMP LEE,5-3,Rogers,34,6,11,0,0,0,3,0,6,2,2,0,0.324
CAMP LEE,5-3,Thomas,35,8,11,0,0,0,2,1,2,10,7,0,0.314
CAMP LEE,5-3,Nelson,33,6,10,1,0,1,0,0,8,72,0,0,0.303
CAMP LEE,5-3,Wiles,29,3,8,1,0,1,0,0,9,78,9,4,0.276
CAMP LEE,5-3,Chakales,15,2,4,0,0,0,0,0,0,3,7,1,0.267
CAMP LEE,5-3,Greengrass,31,6,8,0,2,0,2,0,2,17,2,1,0.258
CAMP LEE,5-3,Leonard,33,8,8,2,0,0,0,0,5,6,26,3,0.242
CAMP LEE,5-3,Hamner,35,7,8,0,1,1,1,0,3,6,17,3,0.229
CAMP LEE,5-3,Kelly,9,2,2,0,0,0,0,1,0,0,0,0,0.222
CAMP LEE,5-3,Laliberte,0,0,0,0,0,0,0,0,0,1,0,0,0.0
CAMP LEE,5-3,Jenkins,2,0,0,0,0,0,0,0,0,0,1,0,0.0
CAMP LEE,5-3,Nees,0,0,0,0,0,0,0,0,0,0,0,0,0.0
