Team,Record,Pitcher,W,L,IP,R,H,BB,SO,WP,HB
ST. JOSEPH AUTOS,7-1,Piechota,2,1,26 1-3,6,15,4,30,0,0.0
ST. JOSEPH AUTOS,7-1,Henshaw,4,0,27 1-3,3,15,8,29,0,0.0
ST. JOSEPH AUTOS,7-1,Rudolph,0,0,9 1-3,5,10,4,0,0,0.0
ST. JOSEPH AUTOS,7-1,Nordquist,1,0,6 1-3,1,4,3,10,1,0.0
ST. JOSEPH AUTOS,7-1,Bukovich,0,0,2,1,3,1,3,0,0.0
CARMICHAEL FIREMEN,6-2,Lollis,4,0,23,7,20,9,15,3,1.0
CARMICHAEL FIREMEN,6-2,Davey,1,2,22 2-3,14,29,10,21,3,0.0
CARMICHAEL FIREMEN,6-2,Perry,1,0,10 2-3,11,20,6,6,0,0.0
CARMICHAEL FIREMEN,6-2,Roderick,0,0,9 2-3,4,7,2,4,1,1.0
CARMICHAEL FIREMEN,6-2,Zutz,0,0,4 1-3,2,0,4,2,0,0.0
CARMICHAEL FIREMEN,6-2,Enos,0,0,1 1-3,4,0,1,0,0,0.0
WACO DONS,6-2,Hillin,2,1,21 2-3,7,18,4,9,0,0.0
WACO DONS,6-2,Bramlett,1,1,15,3,8,10,10,1,0.0
WACO DONS,6-2,Godfrey,1,0,18 1-3,8,14,7,16,2,0.0
WACO DONS,6-2,Shearin,0,1,4,4,8,4,2,1,0.0
CAMP LEE,5-3,Chakales,3,1,34,16,26,23,38,3,0.0
CAMP LEE,5-3,Kelly,1,2,25 2-3,13,18,3,24,0,1.0
CAMP LEE,5-3,Hamner,0,1,1 1-3,3,1,1,0,0,1.0
CAMP LEE,5-3,Laliberte,0,0,6,2,5,3,5,2,0.0
PHOENIX THUNDERBIRDS,4-2,Cantrell,2,1,19,6,13,5,38,0,1.0
PHOENIX THUNDERBIRDS,4-2,Kellner,2,1,33,9,28,7,45,3,2.0
PORTLAND GILBERTS,4-2,Johnson,4,0,26,7,18,13,42,3,1.0
PORTLAND GILBERTS,4-2,Sinovich,0,0,10 1-3,7,9,4,5,0,3.0
PORTLAND GILBERTS,4-2,D. Kirsch,0,1,6 2-3,5,9,4,7,0,0.0
PORTLAND GILBERTS,4-2,Sauvain,0,1,9,6,14,5,4,0,0.0
JACKSON SANDERS,3-2,Smith,2,0,17 2-3,2,13,5,8,0,1.0
JACKSON SANDERS,3-2,Woodward,0,2,19 1-3,16,16,12,21,1,1.0
JACKSON SANDERS,3-2,Assaf,0,0,3,5,8,2,3,0,0.0
JACKSON SANDERS,3-2,Would,1,0,5,4,6,1,1,0,0.0
JACKSON SANDERS,3-2,Carsely,0,0,1 1-3,1,2,0,0,0,0.0
DENVER M&O,3-2,Grissom,1,1,17 1-3,8,21,4,15,0,0.0
DENVER M&O,3-2,Atkins,1,0,20 2-3,6,11,6,32,0,3.0
DENVER M&O,3-2,Peterson,1,1,6 1-3,2,4,2,3,0,1.0
WICHITA BOEING,3-2,Stone,2,1,24 1-3,9,17,9,28,0,1.0
WICHITA BOEING,3-2,Thesenga,1,1,8 2-3,4,7,0,7,2,1.0
WICHITA BOEING,3-2,Meadows,0,0,4 2-3,4,4,3,7,0,0.0
WICHITA BOEING,3-2,Dannels,0,0,5 1-3,1,9,3,7,2,1.0
NORMAN JAYCEES,3-2,Tomlinson,1,0,11,5,13,2,8,0,0.0
NORMAN JAYCEES,3-2,Bass,1,1,18 1-3,6,13,6,12,0,0.0
NORMAN JAYCEES,3-2,Watkins,1,0,1,7,0,0,3,0,0.0
NORMAN JAYCEES,3-2,Davis,1,1,1,6,1,3,0,0,0.0
FT. SMITH EDWARDS,2-2,Edwards,1,0,16 2-3,5,17,1,13,0,0.0
FT. SMITH EDWARDS,2-2,Kistler,1,1,13 2-3,7,11,1,11,0,0.0
THOMASTON MILLS CUBS,2-2,Peek,1,1,7 2-3,5,7,3,4,1,0.0
THOMASTON MILLS CUBS,2-2,Harpe,1,0,16 1-3,6,15,3,3,0,0.0
THOMASTON MILLS CUBS,2-2,Karr,0,0,2 2-3,6,3,0,0,0,0.0
THOMASTON MILLS CUBS,2-2,S. Parker,0,1,4 1-3,8,12,2,2,0,1.0
JEFFERSONVILLE GIANTS,2-2,H. Haddix,1,2,12 2-3,9,10,14,19,1,0.0
JEFFERSONVILLE GIANTS,2-2,Delaney,1,0,6 1-3,5,1,2,21,0,0.0
JEFFERSONVILLE GIANTS,2-2,Humphries,0,0,7,4,5,3,2,0,0.0
JEFFERSONVILLE GIANTS,2-2,Sprinkle,0,0,2,3,10,3,3,2,0.0
JEFFERSONVILLE GIANTS,2-2,Sharrett,0,0,5 1-3,1,3,0,2,0,0.0
KANSAS CITY BURNETTS,2-2,House,2,0,21,11,11,11,31,0,0.0
KANSAS CITY BURNETTS,2-2,Jones,0,2,10,5,11,11,0,0,0.0
KANSAS CITY BURNETTS,2-2,Costello,0,0,2,2,3,0,1,0,0.0
HURLEY MINERS,2-2,Poteet,0,2,6 2-3,12,13,4,4,0,1.0
HURLEY MINERS,2-2,F. Thornton,1,0,16 1-3,1,19,4,16,0,0.0
HURLEY MINERS,2-2,Lucas,1,0,9,6,4,6,2,16,0.0
MILWAUKEE NERADS,2-2,R. Bartkowski,1,1,13,11,14,14,21,2,0.0
MILWAUKEE NERADS,2-2,Mathieson,1,1,12,11,13,11,13,1,1.0
MILWAUKEE NERADS,2-2,Zyzk,0,0,8,12,7,6,7,1,1.0
ITHACA LEGION,1-2,VanVlack,1,0,9 1-3,11,0,12,23,0,0.0
ITHACA LEGION,1-2,Langan,0,0,15,2,4,2,4,0,0.0
JACKSONVILLE TERMINAL,1-2,Parsons,1,1,19 1-3,10,18,2,8,1,0.0
JACKSONVILLE TERMINAL,1-2,J. White,0,0,7,3,3,1,1,1,0.0
JACKSONVILLE TERMINAL,1-2,Kane,0,0,7,4,5,4,10,0,0.0
JACKSONVILLE TERMINAL,1-2,Rowland,0,0,0,0,2,2,1,0,0.0
NORTH CHARLESTON GARCOS,1-2,Thackston,1,0,7,1,7,1,7,0,0.0
NORTH CHARLESTON GARCOS,1-2,G. Thomas,0,2,10,9,11,5,6,0,0.0
NORTH CHARLESTON GARCOS,1-2,Durham,0,0,7,1,6,1,0,0,0.0
SILER CITY,1-2,G. Smith,1,0,9,2,5,2,10,0,1.0
SILER CITY,1-2,Powers,0,1,2 1-3,2,2,5,1,0,0.0
SILER CITY,1-2,Hepler,0,0,12,4,1,1,0,1,0.0
SILER CITY,1-2,Hicks,0,1,3 2-3,4,3,7,0,0,0.0
PERTH AMBOY KOVACS,1-2,Dierickx,1,1,13 2-3,8,11,6,16,1,0.0
PERTH AMBOY KOVACS,1-2,F. Sabine,0,1,5 2-3,7,5,3,4,0,0.0
PERTH AMBOY KOVACS,1-2,P. Sabine,0,0,2 2-3,0,1,0,2,0,0.0
ENID AIRS,1-2,Skidgel,1,0,16,14,12,2,14,0,0.0
ENID AIRS,1-2,Kellert,0,0,1,2,1,3,0,0,1.0
ENID AIRS,1-2,Winn,0,1,1 2-3,3,4,2,2,0,0.0
ENID AIRS,1-2,Hawkins,0,1,2 1-3,4,4,2,4,0,1.0
ENID AIRS,1-2,Havenstrite,0,0,6 2-3,1,4,1,2,1,0.0
BEMISTON CATS,1-2,Vickers,1,1,12 2-3,4,15,3,7,0,0.0
BEMISTON CATS,1-2,Bellis,0,1,13 1-3,13,16,4,14,3,1.0
FRANKLIN OILERS,1-2,Barry,0,4,12,4,1,1,2,1,0.0
FRANKLIN OILERS,1-2,Brutcher,1,1,15,9,6,6,6,3,1.0
FRANKLIN OILERS,1-2,Luccine,0,9,9,7,3,9,0,0,
BRIDGEPORT SPRINGWOODS,0-2,Bike,0,1,6 2-3,10,17,5,0,0,0.0
BRIDGEPORT SPRINGWOODS,0-2,Petrides,0,0,1 2-3,4,3,0,0,0,0.0
BRIDGEPORT SPRINGWOODS,0-2,Soltis,0,1,9 1-3,2,6,3,5,0,0.0
PRESTONSBURG REDS,0-2,Patton,0,1,6 1-2,4,4,2,0,0,0.0
PRESTONSBURG REDS,0-2,Childers,0,0,1 2-3,2,6,1,3,0,0.0
PRESTONSBURG REDS,0-2,Kidd,0,1,8,2,6,2,5,0,0.0
FRANKFORT STARS,0-2,Shepard,0,1,5 2-3,7,7,4,8,1,4.0
FRANKFORT STARS,0-2,C. Aders,0,2,2 1-3,1,4,0,6,1,0.0
FRANKFORT STARS,0-2,Emerick,0,0,4,7,6,4,4,1,0.0
WATERLOO DIXIES,0-2,D. Roberts,0,1,5,6,7,3,5,0,0.0
WATERLOO DIXIES,0-2,Bennett,0,0,4,1,6,7,1,0,0.0
WATERLOO DIXIES,0-2,Drisselhaus,0,0,3,0,7,0,6,0,0.0
WATERLOO DIXIES,0-2,Brotchoak,0,1,6,5,1,4,0,0,
BELLINGHAM BELLS,0-2,Plank,0,1,4,4,8,3,5,0,0.0
BELLINGHAM BELLS,0-2,Bierer,0,1,4,4,8,3,5,0,0.0
BELLINGHAM BELLS,0-2,Brown,0,0,1,5,7,3,1,0,0.0
BELLINGHAM BELLS,0-2,Borisson,0,0,5,6,2,6,5,0,1.0
BARKSDALE FIELD,0-2,Snyder,0,1,8,5,10,1,4,0,0.0
BARKSDALE FIELD,0-2,Harnly,0,1,9,2,6,1,5,0,0.0
CHANUTE FIELD,0-2,VanNest,0,1,11 1-3,9,9,6,6,3,0.0
CHANUTE FIELD,0-2,Allen,0,0,2-3,0,0,0,0,0,0.0
CHANUTE FIELD,0-2,O'Donnell,0,1,5,6,7,1,4,0,0.0
WILDER,0-2,B. Batt,0,0,9,7,8,6,5,0,1.0
WILDER,0-2,Garman,0,1,5,5,6,3,4,1,1.0
WILDER,0-2,Gregory,0,1,2,11,9,4,0,0,0.0
JOHNSON CITY SOLDIERS,0-1,Whittimore,0,1,6,9,9,1,3,0,0.0
JOHNSON CITY SOLDIERS,0-1,McCoughlin,0,0,2,0,2,0,2,0,0.0
