Team,W-L,Player,Position,G,AB,R,H,2B,3B,HR,SB,SH,RBI,PO,A,E,Pct
WICHITA BOEING BOMBERS,7-1,Scott,2b,8,27,8,7,1,0,0,0,0,2,9,12,1.0,0.259
WICHITA BOEING BOMBERS,7-1,Mitchell,2b,8,32,3,7,1,0,0,0,1,0,18,21,1.0,0.219
WICHITA BOEING BOMBERS,7-1,Layton,lf,8,32,6,8,2,0,0,2,0,5,13,1,0.0,0.25
WICHITA BOEING BOMBERS,7-1,Spencer,ss,8,31,12,12,1,2,3,5,1,14,13,32,2.0,0.387
WICHITA BOEING BOMBERS,7-1,Logan,rf,7,27,9,11,1,0,2,1,0,5,10,0,0.0,0.407
WICHITA BOEING BOMBERS,7-1,Teter,cf,8,31,7,4,1,0,1,1,0,4,10,0,0.0,0.129
WICHITA BOEING BOMBERS,7-1,Packard,1b,8,24,7,10,4,0,2,0,1,8,72,8,0.0,0.417
WICHITA BOEING BOMBERS,7-1,Carson,c,4,14,2,4,0,0,2,0,0,4,28,1,2.0,0.286
WICHITA BOEING BOMBERS,7-1,Morris,p,4,11,3,2,0,0,0,0,0,1,2,1,0.0,0.182
WICHITA BOEING BOMBERS,7-1,Kovach,c,4,17,0,4,0,0,0,0,0,1,18,2,0.0,0.235
WICHITA BOEING BOMBERS,7-1,Werbach,p,3,5,0,0,0,0,0,0,0,0,2,2,0.0,0.0
WICHITA BOEING BOMBERS,7-1,Rogers,rf,3,3,0,1,0,0,0,0,0,0,0,1,0.0,0.333
WICHITA BOEING BOMBERS,7-1,Smith,p,4,5,0,2,0,0,0,0,0,4,2,3,0.0,0.4
WICHITA BOEING BOMBERS,7-1,Konek,1b,1,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0
WICHITA BOEING BOMBERS,7-1,Upchurch,p,1,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0
SINTON PLYMOUTH OILERS,6-2,Woodman,2b,8,24,4,5,0,0,0,3,1,0,16,22,4.0,0.208
SINTON PLYMOUTH OILERS,6-2,Koperwhats,ss,8,31,9,12,1,2,0,3,1,9,9,28,1.0,0.387
SINTON PLYMOUTH OILERS,6-2,Fisher,1b-rf,7,23,6,9,2,0,0,0,2,7,30,3,2.0,0.391
SINTON PLYMOUTH OILERS,6-2,McBride,lf-cf,8,28,4,7,2,0,1,2,0,6,11,0,0.0,0.25
SINTON PLYMOUTH OILERS,6-2,Good,lf,7,24,3,7,0,0,0,1,2,6,8,0,0.0,0.292
SINTON PLYMOUTH OILERS,6-2,Donaldson,3b,7,20,6,4,2,0,0,0,0,0,2,10,3.0,0.2
SINTON PLYMOUTH OILERS,6-2,Frickie,1b,6,21,4,7,0,0,0,2,0,2,45,2,1.0,0.333
SINTON PLYMOUTH OILERS,6-2,Trench,c,8,26,4,9,0,0,0,0,0,1,77,3,1.0,0.346
SINTON PLYMOUTH OILERS,6-2,Taylor,p,3,7,0,5,0,0,0,0,0,1,2,2,0.0,0.714
SINTON PLYMOUTH OILERS,6-2,Bethel,p,4,6,0,0,0,0,0,0,1,0,1,3,0.0,0.0
SINTON PLYMOUTH OILERS,6-2,Lundquist,cf-rf,6,23,5,7,2,0,1,1,0,4,7,0,0.0,0.304
SINTON PLYMOUTH OILERS,6-2,Ehrke,p,2,3,1,0,0,0,0,0,0,0,2,0,0.0,0.0
SINTON PLYMOUTH OILERS,6-2,Lowry,ss-3b,4,13,2,3,0,0,0,0,0,2,4,4,0.0,0.231
SINTON PLYMOUTH OILERS,6-2,Reed,p,4,4,1,2,0,0,0,0,0,0,0,1,0.0,0.5
SINTON PLYMOUTH OILERS,6-2,Jacobs,p,2,2,0,1,0,0,0,0,0,0,0,0,0.0,0.5
SINTON PLYMOUTH OILERS,6-2,Aulds,,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
NORTH PLATTE PLAINSMEN,6-2,O'Connor,3b,7,29,10,11,2,0,0,1,1,2,12,13,3.0,0.379
NORTH PLATTE PLAINSMEN,6-2,Lebedz,ss,8,32,11,15,0,2,0,0,1,5,10,20,4.0,0.469
NORTH PLATTE PLAINSMEN,6-2,Cederdahl,cf,8,31,5,10,1,0,1,0,0,3,15,0,1.0,0.323
NORTH PLATTE PLAINSMEN,6-2,Adzick,c,8,31,10,13,2,0,2,1,0,11,58,10,2.0,0.419
NORTH PLATTE PLAINSMEN,6-2,Frisina,2b,8,30,5,13,2,0,0,1,1,6,23,19,1.0,0.433
NORTH PLATTE PLAINSMEN,6-2,Harmonn,lf-rf,8,31,6,7,2,0,1,2,0,7,12,0,0.0,0.226
NORTH PLATTE PLAINSMEN,6-2,Dunn,lf,1,3,0,2,0,0,0,0,0,0,2,0,0.0,0.667
NORTH PLATTE PLAINSMEN,6-2,Eisenmann,p,3,7,1,0,0,0,0,0,0,0,2,2,0.0,0.0
NORTH PLATTE PLAINSMEN,6-2,Quick,3b-rf,4,14,2,3,0,0,0,0,0,3,3,1,1.0,0.214
NORTH PLATTE PLAINSMEN,6-2,Nicholas,p,3,8,2,3,0,0,0,0,0,2,1,2,0.0,0.375
NORTH PLATTE PLAINSMEN,6-2,Thurman,3b-c-1b,7,25,4,7,1,0,0,0,0,1,48,6,1.0,0.28
NORTH PLATTE PLAINSMEN,6-2,Callaghan,rf-p,3,3,0,1,1,0,0,0,0,1,1,0,0.0,0.333
NORTH PLATTE PLAINSMEN,6-2,Mathis,1b-rf,5,11,1,3,1,0,0,0,0,1,11,0,0.0,0.273
NORTH PLATTE PLAINSMEN,6-2,Gill,p,2,7,1,1,1,0,0,0,0,0,0,2,0.0,0.143
NORTH PLATTE PLAINSMEN,6-2,McCormick,p,2,3,0,1,0,0,0,0,1,0,0,2,0.0,0.333
ST. JOSEPH AUSCOS,5-3,Nichols,rf-cf,8,19,9,8,2,0,1,2,1,7,12,2,0.0,0.421
ST. JOSEPH AUSCOS,5-3,Berry,ss,6,15,1,8,1,0,0,0,0,2,8,8,0.0,0.533
ST. JOSEPH AUSCOS,5-3,Wood,2b,8,28,5,5,0,0,0,0,0,2,22,16,1.0,0.179
ST. JOSEPH AUSCOS,5-3,Humphrey,lf,8,25,5,10,2,0,0,0,4,6,10,2,0.0,0.4
ST. JOSEPH AUSCOS,5-3,Rivich,3b,8,23,5,3,1,0,1,0,1,3,3,15,0.0,0.13
ST. JOSEPH AUSCOS,5-3,Overland,1b,8,25,4,7,0,0,0,0,1,3,61,3,0.0,0.28
ST. JOSEPH AUSCOS,5-3,Geresy,cf-rf,8,28,11,11,0,0,0,0,1,6,13,1,1.0,0.393
ST. JOSEPH AUSCOS,5-3,Westerkamp,c,8,25,3,4,1,0,0,1,0,1,44,6,0.0,0.16
ST. JOSEPH AUSCOS,5-3,Marino,p,2,2,1,0,0,0,0,0,0,0,0,1,0.0,0.0
ST. JOSEPH AUSCOS,5-3,Bramble,p,4,3,0,2,0,0,0,0,0,0,0,1,0.0,0.667
ST. JOSEPH AUSCOS,5-3,Hisner,p,4,6,1,1,0,0,0,0,1,1,1,1,0.0,0.167
