Team,W-L,Pitcher,W,L,IP,R,H,BB,SO,WP,HB
WICHITA BOEING BOMBERS,7-1,Morris,3,0,25,9,19,9,26,1,0
WICHITA BOEING BOMBERS,7-1,Werbach,2,0,20 2-3,3,13,7,8,1,0
WICHITA BOEING BOMBERS,7-1,Smith,2,0,12,2,11,1,8,1,2
WICHITA BOEING BOMBERS,7-1,Upchurch,0,1,8 1-3,3,11,3,3,0,0
SINTON PLYMOUTH OILERS,6-2,Taylor,2,1,21,3,8,6,31,0,0
SINTON PLYMOUTH OILERS,6-2,Bethel,1,1,22 1-3,8,14,6,20,0,1
SINTON PLYMOUTH OILERS,6-2,Ehrke,2,0,13,9,11,4,11,0,0
SINTON PLYMOUTH OILERS,6-2,Reed,1,0,12 2-3,5,9,8,6,0,0
SINTON PLYMOUTH OILERS,6-2,Jacobs,0,0,3,3,4,0,3,0,1
NORTH PLATTE PLAINSMEN,6-2,Eisenmann,1,1,21 2-3,8,18,12,21,1,0
NORTH PLATTE PLAINSMEN,6-2,Nicholas,2,0,12,2,6,1,5,0,2
NORTH PLATTE PLAINSMEN,6-2,Callaghan,0,1,3,4,5,4,1,0,0
NORTH PLATTE PLAINSMEN,6-2,Gill,2,0,18,3,11,6,20,0,1
NORTH PLATTE PLAINSMEN,6-2,McCormick,1,0,12 1-3,4,8,4,15,0,0
ST. JOSEPH AUSCOS,5-3,Marino,1,1,8,4,11,0,3,0,0
ST. JOSEPH AUSCOS,5-3,Bramble,0,0,8 2-3,4,12,1,5,1,0
ST. JOSEPH AUSCOS,5-3,Hisner,1,1,15,5,15,2,15,0,0
ST. JOSEPH AUSCOS,5-3,Searcy,2,1,14 2-3,3,9,3,16,0,0
ST. JOSEPH AUSCOS,5-3,Richardson,1,0,18 1-3,10,18,7,10,0,0
ST. JOSEPH AUSCOS,5-3,Hartley,0,0,1,0,2,0,1,0,0
PEORIA CATERPILLAR TRACTORS,4-2,Garamone,1,2,32,14,13,16,28,3,0
PEORIA CATERPILLAR TRACTORS,4-2,Hutt,0,0,1,2,4,1,2,0,0
PEORIA CATERPILLAR TRACTORS,4-2,Tigue,1,0,8 1-3,3,5,1,3,0,0
PEORIA CATERPILLAR TRACTORS,4-2,B. Smith,2,0,11,3,7,10,10,1,0
HUNTSVILLE PARKERS,4-2,Coggins,1,0,8,3,9,3,7,1,0
HUNTSVILLE PARKERS,4-2,Stewart,2,1,25,7,17,10,11,0,0
HUNTSVILLE PARKERS,4-2,Burns,1,0,8 2-3,11,9,8,6,0,0
HUNTSVILLE PARKERS,4-2,Bragg,0,1,2 1-3,6,5,9,2,1,0
HUNTSVILLE PARKERS,4-2,Mathis,0,0,1 1-3,8,7,0,0,0,0
HUNTSVILLE PARKERS,4-2,Gant,0,0,0,2,0,2,0,0,0
HUNTSVILLE PARKERS,4-2,Michael,0,0,2-3,1,1,0,0,0,0
MIDDLETOWN MERCHANTS,3-2,Parks,0,1,6,2,6,1,6,0,0
MIDDLETOWN MERCHANTS,3-2,Riggs,1,0,11 2-3,9,13,9,12,0,1
MIDDLETOWN MERCHANTS,3-2,Smith,0,1,4,4,6,0,4,0,0
MIDDLETOWN MERCHANTS,3-2,Rosenthil,2,0,20 1-3,7,12,13,23,3,4
HOLDEN CHIEFS,3-2,Hiller,0,1,6,6,5,0,2,0,0
HOLDEN CHIEFS,3-2,Geritz,1,0,13 1-3,9,15,4,3,0,0
HOLDEN CHIEFS,3-2,Zych,2,0,18 1-3,6,14,8,12,1,2
HOLDEN CHIEFS,3-2,Pickett,0,1,2-3,5,2,3,0,1,0
MILWAUKEE FALKS,3-2,Kezman,1,2,16 1-3,11,13,3,12,1,0
MILWAUKEE FALKS,3-2,Poquette,0,0,1 1-3,3,3,2,1,0,0
MILWAUKEE FALKS,3-2,Lutz,2,0,22,3,11,3,11,0,0
MILWAUKEE FALKS,3-2,Basco,0,0,1-3,3,0,2,0,0,0
MIDLAND USS LOCAL 1212,3-2,Warner,0,0,12 1-3,2,9,5,13,1,0
MIDLAND USS LOCAL 1212,3-2,Keating,0,2,9 2-3,8,8,2,9,0,0
MIDLAND USS LOCAL 1212,3-2,Watson,1,0,11,2,8,4,17,0,0
MIDLAND USS LOCAL 1212,3-2,Fielding,1,0,6,0,1,1,2,0,0
ALBUQUERQUE RIO GRANDE LUMBER,2-2,Brown,0,1,10 2-3,4,3,6,8,3,0
ALBUQUERQUE RIO GRANDE LUMBER,2-2,Vega,0,0,11 2-3,6,9,2,11,0,0
ALBUQUERQUE RIO GRANDE LUMBER,2-2,Wold,0,0,2 1-3,2,3,1,2,0,0
ALBUQUERQUE RIO GRANDE LUMBER,2-2,Romero,2,1,12 1-3,5,7,1,15,2,0
SILVER CITY PLANTERS,2-2,Burford,1,1,12 1-3,12,14,7,13,1,1
SILVER CITY PLANTERS,2-2,Day,1,0,8,7,12,2,3,0,0
SILVER CITY PLANTERS,2-2,Shelton,0,0,1,6,8,1,0,0,0
SILVER CITY PLANTERS,2-2,Gray,0,1,8 2-3,18,11,2,6,0,0
CLEO SPRINGS MERCHANTS,2-2,Legros,2,0,18,2,10,3,17,0,0
CLEO SPRINGS MERCHANTS,2-2,Crissman,0,2,13 2-3,12,19,8,7,1,0
CLEO SPRINGS MERCHANTS,2-2,Kaiser,0,0,2 1-3,4,6,0,1,1,0
COLUMBUS BEULAH PARK JOCKEYS,2-2,Bryden,2,0,13,4,15,4,13,0,0
COLUMBUS BEULAH PARK JOCKEYS,2-2,Northrup,0,2,16 1-3,9,15,7,10,1,0
COLUMBUS BEULAH PARK JOCKEYS,2-2,Hord,0,0,1 2-3,0,0,0,0,0,0
COLUMBUS BEULAH PARK JOCKEYS,2-2,Walters,0,0,1,0,0,1,2,0,0
DENNIS HOBOES,2-2,Cummings,0,1,3,8,4,5,4,1,1
DENNIS HOBOES,2-2,Tucker,1,0,11,2,3,7,7,0,0
