Year,SourcePDF,Team,Player,Pos,G,AB,R,H,2B,3B,HR,SB,SH,RBI,PO,A,E,Pct
1966,1966 NBC player stats OCR.pdf,Boulder (CO) Collegians,Riddock,ss,8,31,3,7,1,0,1,1,0,5,4,23,0,0.225
1966,1966 NBC player stats OCR.pdf,Boulder (CO) Collegians,Henningsen,3b,8,24,6,11,1,0,1,4,0,4,13,20,1,0.458
1966,1966 NBC player stats OCR.pdf,Boulder (CO) Collegians,Moriarity,rf,8,26,5,5,1,0,1,0,0,4,7,0,0,0.192
1966,1966 NBC player stats OCR.pdf,Boulder (CO) Collegians,Spence,1b,8,27,6,7,0,2,2,1,1,9,68,3,3,0.259
1966,1966 NBC player stats OCR.pdf,Boulder (CO) Collegians,Austin,lf,8,26,9,7,2,0,2,2,0,3,9,0,1,0.269
1966,1966 NBC player stats OCR.pdf,Boulder (CO) Collegians,Deisher,cf,8,24,5,7,1,0,1,3,1,5,18,1,2,0.292
1966,1966 NBC player stats OCR.pdf,Boulder (CO) Collegians,Daly,c,8,26,3,6,1,0,1,0,0,3,64,2,1,0.231
1966,1966 NBC player stats OCR.pdf,Boulder (CO) Collegians,Kochevar,3b,8,23,5,3,0,0,1,0,1,3,3,15,2,0.13
1966,1966 NBC player stats OCR.pdf,Boulder (CO) Collegians,Hyman,p,8,8,0,0,0,0,0,0,1,0,1,6,0,0.0
1966,1966 NBC player stats OCR.pdf,Boulder (CO) Collegians,Townsend,nan,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
1966,1966 NBC player stats OCR.pdf,Boulder (CO) Collegians,Dukes,p,3,8,4,3,2,0,1,0,1,5,0,6,0,0.375
1966,1966 NBC player stats OCR.pdf,Boulder (CO) Collegians,Carbajal,p,3,1,0,0,0,0,0,0,0,0,0,5,0,0.0
1966,1966 NBC player stats OCR.pdf,Boulder (CO) Collegians,Willis,p,2,6,0,2,1,0,0,0,0,0,0,2,0,0.333
1966,1966 NBC player stats OCR.pdf,West Point (MS) Packers,Portera,2b-3b-c-lf,6,24,4,8,1,0,1,0,0,2,16,0,1,0.333
1966,1966 NBC player stats OCR.pdf,West Point (MS) Packers,Trapani,lf-1b,7,25,6,8,1,0,1,1,0,3,38,2,2,0.32
1966,1966 NBC player stats OCR.pdf,West Point (MS) Packers,Williams,2b,7,26,4,10,3,0,0,1,0,5,7,15,1,0.385
1966,1966 NBC player stats OCR.pdf,West Point (MS) Packers,M. McWilliams,rf,7,26,8,6,0,1,3,0,0,6,8,0,0,0.231
1966,1966 NBC player stats OCR.pdf,West Point (MS) Packers,Scott,ss-2b,7,29,8,12,1,0,3,1,0,9,15,26,5,0.414
1966,1966 NBC player stats OCR.pdf,West Point (MS) Packers,Brandhurst,c,7,27,2,7,1,0,0,0,1,1,36,1,0,0.259
1966,1966 NBC player stats OCR.pdf,West Point (MS) Packers,Goodwin,cf,2,8,0,6,1,0,0,0,0,1,1,0,0,0.75
1966,1966 NBC player stats OCR.pdf,West Point (MS) Packers,Parker,ss-3b-2b,7,23,3,5,0,0,0,0,0,3,4,7,2,0.217
1966,1966 NBC player stats OCR.pdf,West Point (MS) Packers,Echols,p,3,6,0,1,0,0,0,0,0,1,1,1,0,0.167
1966,1966 NBC player stats OCR.pdf,West Point (MS) Packers,Dillard,p,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1966,1966 NBC player stats OCR.pdf,West Point (MS) Packers,G. McWilliams,p,1,1,0,0,0,0,0,0,1,0,1,0,0,0.0
1966,1966 NBC player stats OCR.pdf,West Point (MS) Packers,Purvis,1b,6,14,1,3,0,0,0,0,0,1,26,1,3,0.214
1966,1966 NBC player stats OCR.pdf,West Point (MS) Packers,Carroll,p,3,4,0,0,0,0,0,0,2,0,0,6,0,0.0
1966,1966 NBC player stats OCR.pdf,West Point (MS) Packers,Green,c,5,18,4,7,2,0,1,0,1,5,9,0,0,0.389
1966,1966 NBC player stats OCR.pdf,West Point (MS) Packers,Burchardt,p,4,8,1,0,0,0,0,0,0,1,0,2,0,0.0
1966,1966 NBC player stats OCR.pdf,West Point (MS) Packers,Farrah,p,1,1,1,1,0,0,0,0,0,0,0,0,0,1.0
1966,1966 NBC player stats OCR.pdf,West Point (MS) Packers,Allen,p,2,2,0,0,0,0,0,0,0,0,0,2,0,0.0
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,Reuss,cf,7,24,5,8,0,0,1,2,0,4,6,0,0,0.333
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,R. Bonomini,2b,7,27,3,6,2,0,0,0,2,3,7,14,1,0.222
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,Mathiesen,ss,7,25,6,10,0,2,0,1,0,1,18,13,0,0.4
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,Gregory,rf-lf,7,23,7,11,1,1,1,1,0,5,12,2,1,0.478
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,Garrido,cf-rf,7,26,3,2,0,0,1,0,1,2,8,2,0,0.077
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,Brady,rf-3b,5,16,1,2,0,0,0,0,0,0,5,5,0,0.125
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,Marquess,1b,6,22,3,9,0,0,1,0,0,6,28,0,2,0.409
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,Garrett,c,7,21,2,6,0,0,0,0,2,7,81,3,0,0.286
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,Vance,p,3,11,1,3,1,0,0,0,0,1,9,3,0,0.273
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,Gonsalves,p,4,2,0,0,0,0,0,0,0,0,0,0,1,0.0
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,Dyer,3b,5,12,2,5,2,0,0,0,1,4,3,6,1,0.417
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,Klinger,p,2,5,0,0,0,0,0,0,0,0,0,1,0,0.0
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,Bendele,p,2,4,0,1,0,0,0,0,1,0,0,4,0,0.25
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,Caviglia,p,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,Graves,p,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1966,1966 NBC player stats OCR.pdf,Minneapolis (MN) Duffs,Markus,2b,8,23,7,7,1,0,0,1,0,3,18,21,1,0.304
1966,1966 NBC player stats OCR.pdf,Minneapolis (MN) Duffs,Robertson,rf,6,13,1,1,0,0,1,0,0,2,9,0,2,0.077
1966,1966 NBC player stats OCR.pdf,Minneapolis (MN) Duffs,Love,3b,8,31,5,6,2,0,0,0,1,3,8,18,1,0.194
1966,1966 NBC player stats OCR.pdf,Minneapolis (MN) Duffs,DeGregoire,cf,8,29,7,8,0,0,1,3,0,7,19,0,0,0.276
1966,1966 NBC player stats OCR.pdf,Minneapolis (MN) Duffs,Zacho,1b,8,32,4,8,2,0,1,2,0,5,60,1,2,0.25
1966,1966 NBC player stats OCR.pdf,Minneapolis (MN) Duffs,Reierson,lf,8,30,6,11,4,0,3,0,0,12,6,0,2,0.367
1966,1966 NBC player stats OCR.pdf,Minneapolis (MN) Duffs,Muck,ss,7,25,7,9,1,0,0,4,0,3,4,17,1,0.36
1966,1966 NBC player stats OCR.pdf,Minneapolis (MN) Duffs,Sadek,c,8,23,4,3,0,0,0,1,0,1,53,2,0,0.13
1966,1966 NBC player stats OCR.pdf,Minneapolis (MN) Duffs,Nevers,p,4,8,3,2,0,0,0,0,1,2,1,7,2,0.25
1966,1966 NBC player stats OCR.pdf,Minneapolis (MN) Duffs,Jacobsen,rf-c,5,13,1,3,0,0,1,0,0,1,2,0,0,0.231
1966,1966 NBC player stats OCR.pdf,Minneapolis (MN) Duffs,Kelly,ss,2,3,1,1,0,0,0,1,0,0,1,5,0,0.333
1966,1966 NBC player stats OCR.pdf,Minneapolis (MN) Duffs,Sevlie,p,4,6,1,1,0,0,0,0,1,0,0,0,2,0.167
1966,1966 NBC player stats OCR.pdf,Minneapolis (MN) Duffs,Smoliak,rf-3b,3,5,0,1,0,0,0,0,0,0,1,0,0,0.2
1966,1966 NBC player stats OCR.pdf,Minneapolis (MN) Duffs,Wickman,p,3,9,1,2,0,0,0,0,0,1,0,3,0,0.222
1966,1966 NBC player stats OCR.pdf,Minneapolis (MN) Duffs,Youngquist,p,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Dreamliners,Scherich,3b,4,15,2,4,0,0,0,0,0,1,5,5,0,0.267
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Dreamliners,Boyd,1b,6,23,5,7,0,0,0,0,0,7,64,5,2,0.304
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Dreamliners,Kanehl,cf,5,6,4,1,0,0,0,0,0,0,5,0,1,0.167
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Dreamliners,Pendleton,lf,6,20,5,9,3,0,2,1,0,11,3,0,0,0.45
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Dreamliners,Marler,rf,6,25,8,11,1,0,1,0,0,3,6,1,0,0.44
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Dreamliners,Neal,2b,6,25,4,8,4,0,0,0,0,2,15,22,4,0.32
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Dreamliners,Bloomfield,ss,6,25,3,7,0,0,0,1,2,2,13,18,1,0.28
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Dreamliners,Bishop,c,6,15,4,5,2,0,1,0,1,7,30,3,0,0.333
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Dreamliners,Soergel,p,6,6,1,1,0,0,0,0,1,0,0,8,0,0.167
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Dreamliners,Deitz,p,4,7,0,0,0,0,0,0,0,0,0,7,0,0.0
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Dreamliners,Melton,p,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Dreamliners,Gillick,p,1,0,0,0,0,0,0,0,0,0,0,2,0,0.0
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Dreamliners,Kern,3b,3,8,2,2,0,0,0,0,0,0,3,6,1,0.125
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Dreamliners,Baker,nan,2,2,0,1,0,0,0,0,0,0,0,0,0,0.5
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Dreamliners,Borland,p,3,3,0,0,0,0,0,0,0,0,1,1,0,0.0
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Dreamliners,Schaub,cf,2,7,1,2,0,0,1,0,0,1,6,0,0,0.286
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Dreamliners,Moore,p,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1966,1966 NBC player stats OCR.pdf,Lubbock (TX) Hubbers,Haggard,cf,6,26,3,4,0,0,0,0,1,3,0,1,0,0.154
1966,1966 NBC player stats OCR.pdf,Lubbock (TX) Hubbers,Willett,2b,6,24,4,6,1,0,0,0,1,4,18,24,3,0.25
1966,1966 NBC player stats OCR.pdf,Lubbock (TX) Hubbers,Palmer,c,5,21,4,10,0,1,1,1,0,3,25,4,2,0.476
1966,1966 NBC player stats OCR.pdf,Lubbock (TX) Hubbers,Boyd,1b,6,23,3,6,2,0,0,0,0,3,56,4,1,0.261
1966,1966 NBC player stats OCR.pdf,Lubbock (TX) Hubbers,Dement,lf,6,23,3,7,2,0,2,1,0,6,5,0,0,0.304
1966,1966 NBC player stats OCR.pdf,Lubbock (TX) Hubbers,Bumpass,rf-3b,6,18,1,5,0,0,0,0,1,1,10,8,1,0.278
1966,1966 NBC player stats OCR.pdf,Lubbock (TX) Hubbers,Henderson,ss,6,21,4,7,2,0,0,0,0,2,9,16,2,0.333
1966,1966 NBC player stats OCR.pdf,Lubbock (TX) Hubbers,Hampton,rf,5,11,1,1,0,0,0,0,0,0,4,0,0,0.091
1966,1966 NBC player stats OCR.pdf,Lubbock (TX) Hubbers,Hillhouse,p,3,6,2,1,0,0,0,0,1,0,1,6,0,0.167
1966,1966 NBC player stats OCR.pdf,Lubbock (TX) Hubbers,Segriat,3b,5,11,1,3,0,0,0,0,1,1,2,5,1,0.273
1966,1966 NBC player stats OCR.pdf,Lubbock (TX) Hubbers,Hopper,c,2,3,0,0,0,0,0,0,0,0,13,0,0,0.0
1966,1966 NBC player stats OCR.pdf,Lubbock (TX) Hubbers,Henson,p,3,10,0,0,0,0,0,0,0,0,1,3,0,0.0
1966,1966 NBC player stats OCR.pdf,Lubbock (TX) Hubbers,Hughes,p,2,2,0,0,0,0,0,0,0,0,0,3,0,0.0
1966,1966 NBC player stats OCR.pdf,Lubbock (TX) Hubbers,McDougall,p,1,2,0,0,0,0,0,0,0,0,0,3,0,0.0
1966,1966 NBC player stats OCR.pdf,Lubbock (TX) Hubbers,Felts,p,3,0,0,0,0,0,0,0,0,0,0,1,0,0.0
1966,1966 NBC player stats OCR.pdf,Lubbock (TX) Hubbers,Whitaker,p,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1966,1966 NBC player stats OCR.pdf,Batesville (AR),J. Mercer,3b,5,22,2,8,0,1,0,1,0,1,1,10,0,0.364
1966,1966 NBC player stats OCR.pdf,Batesville (AR),C. Mercer,c,5,22,1,3,0,0,0,0,1,2,46,8,0,0.136
1966,1966 NBC player stats OCR.pdf,Batesville (AR),A. C. Williams,1b-cf,2,7,1,3,1,0,1,1,0,1,4,0,0,0.429
1966,1966 NBC player stats OCR.pdf,Batesville (AR),G. Washington,1b,5,16,3,6,0,0,2,1,0,5,35,5,1,0.375
1966,1966 NBC player stats OCR.pdf,Batesville (AR),Moss,rf,5,20,2,5,1,0,0,0,0,1,4,0,0,0.25
1966,1966 NBC player stats OCR.pdf,Batesville (AR),Landers,cf-2b,3,10,3,3,0,2,0,1,0,1,4,5,4,0.3
1966,1966 NBC player stats OCR.pdf,Batesville (AR),M. Washington,lf,5,16,4,7,0,0,2,0,0,4,5,4,0,0.438
1966,1966 NBC player stats OCR.pdf,Batesville (AR),Callaway,ss,5,18,2,8,0,0,0,0,0,3,12,12,2,0.444
1966,1966 NBC player stats OCR.pdf,Batesville (AR),Turnbull,p,1,2,0,1,0,0,0,0,1,0,1,0,0,0.5
1966,1966 NBC player stats OCR.pdf,Batesville (AR),Hopkins,p,2,2,0,0,0,0,0,0,0,0,0,0,0,0.0
1966,1966 NBC player stats OCR.pdf,Batesville (AR),Dunavent,p,2,4,0,0,0,0,0,0,0,0,0,1,0,0.0
1966,1966 NBC player stats OCR.pdf,Batesville (AR),Richmond,p,3,8,2,3,0,1,0,0,0,1,3,2,0,0.375
1966,1966 NBC player stats OCR.pdf,Batesville (AR),Harmen,lf,1,3,0,1,1,0,0,0,0,0,1,0,0,0.333
1966,1966 NBC player stats OCR.pdf,Batesville (AR),D. Williams,cf,4,13,1,3,1,0,0,1,0,1,6,0,0,0.231
1966,1966 NBC player stats OCR.pdf,Batesville (AR),Brewer,p,1,2,0,0,0,0,0,0,0,0,0,0,0,0.0
1966,1966 NBC player stats OCR.pdf,Batesville (AR),Glenn,2b,3,13,2,5,0,0,0,2,0,0,5,10,1,0.385
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Service Auto Glass,Myrtle,2b,5,19,2,5,2,0,0,1,0,2,5,10,0,0.263
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Service Auto Glass,Kelley,ss,5,20,5,8,0,0,3,0,0,4,7,12,1,0.4
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Service Auto Glass,Rasmussen,1b,5,18,4,4,0,0,0,0,0,0,37,3,1,0.222
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Service Auto Glass,Casidy,rf-cf,5,17,6,7,1,1,0,0,0,3,11,0,1,0.412
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Service Auto Glass,Sanders,3b,3,21,6,8,1,0,1,0,1,6,4,7,2,0.381
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Service Auto Glass,Carter,lf,3,5,1,1,0,0,0,0,0,0,1,0,0,0.2
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Service Auto Glass,O'Donnell,rf,5,19,1,6,0,1,0,0,0,2,5,0,2,0.316
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Service Auto Glass,Schomaker,c,5,17,2,9,1,0,1,0,0,7,49,2,1,0.529
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Service Auto Glass,Davis,p,2,3,0,0,0,0,0,0,1,0,0,0,0,0.0
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Service Auto Glass,Morris,lf,5,15,3,4,0,0,1,0,0,1,3,0,0,0.267
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Service Auto Glass,Hubbard,p,2,3,0,2,0,0,0,0,0,0,0,2,0,0.667
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Service Auto Glass,Foss,p,2,3,0,1,0,0,0,0,0,0,0,0,0,0.333
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Service Auto Glass,Lewis,p,3,6,1,3,0,0,1,0,0,6,0,0,0,0.5
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Service Auto Glass,Dillon,cf,2,3,0,1,0,0,0,0,0,0,0,0,0,0.333
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Service Auto Glass,McLain,p,1,2,1,0,0,0,0,0,0,0,0,2,0,0.0
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Service Auto Glass,Gabler,p,1,1,0,0,0,0,0,0,0,0,0,1,0,0.0
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Hardiman,1b,4,17,4,8,1,1,1,0,0,3,37,1,0,0.471
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Deffenbaugh,rf,1,2,1,0,0,0,0,0,1,0,2,1,0,0.0
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Hays,cf,4,15,3,4,0,0,0,0,1,5,5,1,0,0.267
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Burdex,c,4,16,2,7,0,0,1,2,0,6,21,4,1,0.438
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Thompson,ss,4,15,1,3,0,0,0,0,0,2,12,13,1,0.2
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Davis,3b,4,13,1,0,0,0,0,0,0,0,3,10,1,0.0
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Hewitt,lf,4,11,3,0,0,0,0,2,2,0,8,1,1,0.0
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Blair,2b,4,13,3,3,0,0,0,0,2,2,8,16,2,0.231
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Lodes,rf-p,4,9,2,2,1,1,0,0,0,2,3,1,1,0.222
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Cheatwood,rf-lf,4,9,2,1,0,0,0,0,0,0,2,1,0,0.111
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Maxwell,p,1,2,0,0,0,0,0,0,0,0,0,0,0,0.0
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Ward,p,2,1,0,0,0,0,0,0,0,0,0,1,0,0.0
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Cassie,p,2,0,0,0,0,0,0,0,0,0,0,1,0,0.0
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Teeders,p,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Allan,p,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0
