Year,SourcePDF,Team,Pitcher,G,W,L,IP,H,R,ER,BB,SO,WP,HB
1966,1966 NBC player stats OCR.pdf,Boulder (CO) Collegians,Hyman,8,2,1,26.0,13,2,1,5,25,0,0
1966,1966 NBC player stats OCR.pdf,Boulder (CO) Collegians,Dukes,3,3,0,19.2,16,4,3,6,23,0,0
1966,1966 NBC player stats OCR.pdf,Boulder (CO) Collegians,Carbajal,3,0,0,5.0,1,0,0,3,3,0,0
1966,1966 NBC player stats OCR.pdf,Boulder (CO) Collegians,Willis,2,2,0,13.1,7,5,4,3,12,0,1
1966,1966 NBC player stats OCR.pdf,West Point (MS) Packers,Echols,3,0,0,15.0,15,6,6,2,12,0,0
1966,1966 NBC player stats OCR.pdf,West Point (MS) Packers,Dillard,1,0,0,0.0,1,0,0,1,0,0,0
1966,1966 NBC player stats OCR.pdf,West Point (MS) Packers,G. McWilliams,1,0,1,3.2,3,3,3,0,1,0,0
1966,1966 NBC player stats OCR.pdf,West Point (MS) Packers,Carroll,3,1,0,13.2,10,5,5,6,23,1,1
1966,1966 NBC player stats OCR.pdf,West Point (MS) Packers,Burchardt,4,3,0,20.2,13,3,3,5,21,2,0
1966,1966 NBC player stats OCR.pdf,West Point (MS) Packers,Farrah,1,0,0,2.0,3,1,1,1,1,1,0
1966,1966 NBC player stats OCR.pdf,West Point (MS) Packers,Allen,2,1,1,4.0,4,3,3,0,4,1,0
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,Vance,3,3,0,23.1,14,6,2,19,37,1,0
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,Gonsalves,4,0,0,10.0,12,6,5,3,8,0,0
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,Klinger,2,1,1,13.1,11,8,8,5,12,2,0
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,Bendele,2,1,1,9.2,7,1,1,5,12,0,0
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,Caviglia,1,0,0,1.0,2,4,4,2,1,2,0
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,Graves,1,0,0,0.1,0,2,2,1,0,1,3
1966,1966 NBC player stats OCR.pdf,Minneapolis (MN) Duffs,Nevers,4,2,2,25.0,18,12,9,11,20,1,0
1966,1966 NBC player stats OCR.pdf,Minneapolis (MN) Duffs,Sevlie,4,1,0,16.2,10,5,2,2,18,0,0
1966,1966 NBC player stats OCR.pdf,Minneapolis (MN) Duffs,Wickman,3,2,1,22.1,17,9,9,10,11,1,0
1966,1966 NBC player stats OCR.pdf,Minneapolis (MN) Duffs,Youngquist,1,0,0,1.0,2,0,0,0,0,0,0
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Dreamliners,Soergel,3,2,1,18.1,20,11,10,2,8,1,0
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Dreamliners,Deitz,4,2,0,16.2,12,2,1,1,11,0,1
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Dreamliners,Melton,2,0,1,4.1,7,5,5,4,0,0,0
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Dreamliners,Gillick,1,0,0,1.2,5,2,2,0,3,0,0
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Dreamliners,Borland,3,0,0,8.1,14,6,4,4,6,0,1
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Dreamliners,Moore,2,0,0,0.2,4,3,2,0,2,0,0
1966,1966 NBC player stats OCR.pdf,Lubbock (TX) Hubbers,Hillhouse,3,2,1,21.1,27,14,12,5,8,0,0
1966,1966 NBC player stats OCR.pdf,Lubbock (TX) Hubbers,Henson,2,2,0,17.0,10,0,0,7,16,1,0
1966,1966 NBC player stats OCR.pdf,Lubbock (TX) Hubbers,Hughes,2,0,0,4.1,8,6,6,5,2,0,0
1966,1966 NBC player stats OCR.pdf,Lubbock (TX) Hubbers,McDougall,1,0,1,4.0,7,4,4,3,2,1,0
1966,1966 NBC player stats OCR.pdf,Lubbock (TX) Hubbers,Felts,3,0,0,3.1,4,2,2,2,5,0,0
1966,1966 NBC player stats OCR.pdf,Lubbock (TX) Hubbers,Whitaker,1,0,0,2.0,2,0,0,0,1,2,0
1966,1966 NBC player stats OCR.pdf,Batesville (AR),Turnbull,1,1,0,5.1,5,4,4,5,8,0,0
1966,1966 NBC player stats OCR.pdf,Batesville (AR),Richmond,3,1,1,17.2,17,11,10,7,16,0,0
1966,1966 NBC player stats OCR.pdf,Batesville (AR),Brewer,1,0,1,4.1,4,1,0,2,2,0,0
1966,1966 NBC player stats OCR.pdf,Batesville (AR),McKay,1,0,0,1.1,5,6,6,1,3,0,0
1966,1966 NBC player stats OCR.pdf,Batesville (AR),Hopkins,1,0,0,3.2,1,1,0,1,5,0,0
1966,1966 NBC player stats OCR.pdf,Batesville (AR),Dunavent,2,1,0,11.2,4,1,0,5,11,0,0
