year,team_name,player_name,pos,ab,r,h,rbi,bb,so,po,a,lob
2003,Chinese Taipei,Hsien-Ming Yu,lf,4,0,2,2,,,,,
2003,Chinese Taipei,Chih-Yao Chan,rf,4,1,0,0,,,,,
2003,Chinese Taipei,Yung-Chi Chen,ss,5,1,3,0,,,,,
2003,Chinese Taipei,Chih-Wei Shih,2b,4,1,1,2,,,,,
2003,Chinese Taipei,Ko-Fan Chen,dh,4,0,0,0,,,,,
2003,Chinese Taipei,Cheng-Wei Huang,ph,1,0,0,0,,,,,
2003,Chinese Taipei,Chia-Hong Chen,3b,3,1,0,0,,,,,
2003,Chinese Taipei,Chih-Sheng Lin,1b,4,0,2,0,,,,,
2003,Chinese Taipei,Chih-Kang Kao,c,4,0,2,0,,,,,
2003,Chinese Taipei,Yao-Hsun Yang,cf,4,1,2,0,,,,,
2003,Chinese Taipei,Chang-Wei Tu,p,0,0,0,0,,,,,
2003,Santa Barbara CA,Daniel Bruce,rf,2,0,0,0,,,,,
2003,Santa Barbara CA,Chris Sinner,ph/cf,1,0,0,0,,,,,
2003,Santa Barbara CA,Chris Pettit,ph,1,0,0,0,,,,,
2003,Santa Barbara CA,Kevin Frandsen,3b,3,0,0,0,,,,,
2003,Santa Barbara CA,Brett Hayes,cf/lf,3,0,0,0,,,,,
2003,Santa Barbara CA,Billy Susdorf,lf/rf,3,0,0,0,,,,,
2003,Santa Barbara CA,Matt Thayer,rf,0,0,0,0,,,,,
2003,Santa Barbara CA,Seth Johnston,2b,2,0,0,0,,,,,
2003,Santa Barbara CA,Isaac Omura,2b,0,0,0,0,,,,,
2003,Santa Barbara CA,Richie Robnett,dh,3,0,0,0,,,,,
2003,Santa Barbara CA,Nick McCoola,ss,3,0,1,0,,,,,
2003,Santa Barbara CA,Chris Grossman,c,2,0,0,0,,,,,
2003,Santa Barbara CA,Aaron Bates,ph,1,0,0,0,,,,,
2003,Santa Barbara CA,Nate Sutton,1b,2,0,0,0,,,,,
2003,Santa Barbara CA,Ben Mummy,1b,1,0,0,0,,,,,
2003,Santa Barbara CA,Justin Pekarek,p,0,0,0,0,,,,,
2003,Santa Barbara CA,Chad Fillinger,p,0,0,0,0,,,,,
2003,Santa Barbara CA,Matt Garza,p,0,0,0,0,,,,,
