year,team_name,player_name,position,ab,r,h,rbi
2010,Seattle WA Studs,Kyle Boe,3B,4,1,2,4
2010,Seattle WA Studs,Dan Ward,LF,5,0,1,0
2010,Seattle WA Studs,Mark Rockey,1B,5,1,2,0
2010,Seattle WA Studs,Kevin Corrigan,DH,5,1,2,2
2010,Seattle WA Studs,Luke Hetherington,CF,5,1,1,0
2010,Seattle WA Studs,Jett Hart,RF,4,0,0,0
2010,Seattle WA Studs,Derek Jennings,SS,3,1,0,0
2010,Seattle WA Studs,Garrett Breda,C,1,0,0,0
2010,Seattle WA Studs,Brett Wilcox,PH/C,3,0,1,0
2010,Seattle WA Studs,Jesse Gibson,2B,2,1,0,0
2010,Liberal BeeJays,Edwin Arroyo,2B,5,1,2,0
2010,Liberal BeeJays,Kelby Tomlinson,SS,4,1,2,0
2010,Liberal BeeJays,Blake Bergeron,1B,5,2,2,2
2010,Liberal BeeJays,Joe Vaskas,DH,5,3,4,3
2010,Liberal BeeJays,Marc Gomez,CF,2,1,1,0
2010,Liberal BeeJays,Sam Konnoff,RF,3,1,1,1
2010,Liberal BeeJays,Richard Bohlken,3B,4,0,2,2
2010,Liberal BeeJays,David Masters,C,4,0,1,0
2010,Liberal BeeJays,Nick Cocking,LF,4,0,0,0
