year,team_name,player_name,ab,r,h,rbi,bb,so,po,a,lob
2011,Kenai AK Peninsula Oilers,Mike Miller ss,4,0,1,0,0,1,,,
2011,Kenai AK Peninsula Oilers,Chris Mallory 2b,4,0,0,0,0,2,,,
2011,Kenai AK Peninsula Oilers,Patrick Wisdom 3b,4,0,1,0,0,1,,,
2011,Kenai AK Peninsula Oilers,Troy Channing 1b,3,0,1,0,0,1,,,
2011,Kenai AK Peninsula Oilers,Tanner Rust rf,3,0,0,0,0,0,,,
2011,Kenai AK Peninsula Oilers,Stephen Branca dh,3,0,0,0,0,0,,,
2011,Kenai AK Peninsula Oilers,Ryan McChesney c,3,0,1,0,0,1,,,
2011,Kenai AK Peninsula Oilers,Boomer Collins lf,3,0,0,0,0,0,,,
2011,Kenai AK Peninsula Oilers,Nate Ring cf,2,0,0,0,1,0,,,
2011,Santa Barbara CA Foresters,Brett Vertigan cf,2,1,1,0,2,1,,,
2011,Santa Barbara CA Foresters,Jeff McNeil 2b,4,0,1,0,0,0,,,
2011,Santa Barbara CA Foresters,Jeff McVaney lf,4,0,2,1,0,0,,,
2011,Santa Barbara CA Foresters,James Wharton 1b,3,0,0,0,0,1,,,
2011,Santa Barbara CA Foresters,Michael Ratterree dh,3,0,0,0,0,0,,,
2011,Santa Barbara CA Foresters,Derek Legg 3b,2,0,0,0,0,0,,,
2011,Santa Barbara CA Foresters,Joe Wallace rf,3,0,0,0,0,1,,,
2011,Santa Barbara CA Foresters,Tyler Pearson c,2,0,0,0,1,0,,,
2011,Santa Barbara CA Foresters,Shane Kroker ss,3,0,0,0,0,0,,,
