year,team_name,player_name,ip,h,r,er,bb,so,ab,bf,fo,go,hbp,wp,bk,rbi
2011,Kenai AK Peninsula Oilers,"Jordan Mills L,1-1",1.0,2,1,1,0,0,5,5,0,3,0,0,0,
2011,Kenai AK Peninsula Oilers,Tyler Blum,1.0,0,0,0,1,0,3,4,1,2,0,0,0,
2011,Kenai AK Peninsula Oilers,JD Salles,1.0,1,0,0,1,0,2,3,0,1,0,0,0,
2011,Kenai AK Peninsula Oilers,Mark Winkelman,1.0,0,0,0,0,0,3,4,1,2,1,0,0,
2011,Kenai AK Peninsula Oilers,Cameron McVey,1.0,0,0,0,0,1,3,3,1,1,0,0,0,
2011,Kenai AK Peninsula Oilers,Reese McGraw,1.0,1,0,0,0,1,4,4,1,1,0,0,0,
2011,Kenai AK Peninsula Oilers,James Mannara,1.0,0,0,0,0,1,3,3,0,2,0,0,0,
2011,Kenai AK Peninsula Oilers,Conner Kendrick,1.0,0,0,0,1,0,3,4,0,3,0,0,0,
2011,Santa Barbara CA Foresters,"Mitch Mormann W,1-0",7.0,4,0,0,1,4,23,25,7,8,1,0,0,
2011,Santa Barbara CA Foresters,"Spenser Messmore S,1",2.0,0,0,0,0,2,6,6,2,2,0,0,0,
