year,team_name,player_name,jersey_num,position,ab,r,h,rbi,bb,so,po,a,lob
2016,Hays Larks,Michael Burns,,cf,4,0,1,0,1,0,,,
2016,Hays Larks,Nate Olinger,,lf,3,0,0,0,0,1,,,
2016,Hays Larks,Austin O'Brien,,1b,4,0,0,0,0,1,,,
2016,Hays Larks,Mike Mioduszewski,,dh,4,0,1,0,0,1,,,
2016,Hays Larks,Alex Weiss,,3b,4,1,2,0,0,0,,,
2016,Hays Larks,Jacob Boston,,ss,2,0,0,0,1,0,,,
2016,Hays Larks,Mikey Gangwish,,c,4,1,1,0,0,0,,,
2016,Hays Larks,Ty Redington,,2b,4,0,2,1,0,1,,,
2016,Hays Larks,Conner Ross,,rf,4,0,1,1,0,1,,,
2016,Santa Barbara Foresters,Matt Henderson,,ss,4,2,2,1,1,1,,,
2016,Santa Barbara Foresters,Kyle Isbel,,cf,5,1,4,1,0,0,,,
2016,Santa Barbara Foresters,Bret Boswell,,3b,3,1,1,1,1,1,,,
2016,Santa Barbara Foresters,Hunter Williams,,1b,4,0,0,0,0,2,,,
2016,Santa Barbara Foresters,Lex Kaplan,,rf,3,1,2,1,1,0,,,
2016,Santa Barbara Foresters,Dylan Paul,,lf,4,0,1,2,0,2,,,
2016,Santa Barbara Foresters,Tyler Adkison,,dh,4,0,1,0,0,1,,,
2016,Santa Barbara Foresters,Steven Coe,,c,1,0,0,0,2,0,,,
2016,Santa Barbara Foresters,Hank Loforte,,2b,4,1,1,0,0,2,,,
