year,team_name,pitcher_name,ip,h,r,er,bb,so,ab,bf,fo,go,hbp,wp,bk,rbi
2018,NJCAA National Team,Tyler Spring,1.1,5,4,4,1,1,9,11,1,2,1,1,0,0
2018,NJCAA National Team,Juan Cabrera,5.1,1,1,1,0,2,16,18,6,8,1,0,0,0
2018,NJCAA National Team,Michael Spinozzi,0.2,1,0,0,0,1,3,3,1,0,0,0,0,0
2018,NJCAA National Team,Nick Urbantke,0.1,0,0,0,0,0,2,2,0,1,0,0,0,0
2018,NJCAA National Team,Jarret Whorf,0.1,1,1,1,1,0,2,3,1,0,0,0,0,0
2018,NJCAA National Team,Giovannie Nieves,0.0,0,0,0,0,0,0,2,0,0,2,0,0,0
2018,NJCAA National Team,Brock Edge,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0
2018,Santa Barbara (CA) Foresters,Jackson Wolf,3.1,7,2,0,1,7,17,18,2,1,0,0,0,0
2018,Santa Barbara (CA) Foresters,Conner Woods,0.2,0,0,0,1,1,2,3,1,0,0,0,0,0
2018,Santa Barbara (CA) Foresters,Brett Standlee,4.2,2,1,1,0,5,15,15,3,5,0,0,0,0
2018,Santa Barbara (CA) Foresters,Chase Wallace,0.0,1,2,2,2,0,1,3,0,0,0,0,0,0
2018,Santa Barbara (CA) Foresters,Nico O'Donnell,0.0,0,0,0,2,0,0,2,0,0,0,0,0,0
2018,Santa Barbara (CA) Foresters,Elliott Anderson,0.1,0,0,0,0,0,1,1,0,1,0,0,0,0
