year,team_name,player_name,decision,ip,h,r,er,bb,so,wp,bk,hp,ibb,ab,bf,fo,go,np
2021,Austin Lonestar TX,Davis Luikart,"L,0-1",4.1,7,6,4,1,6,0,0,1,0,21,23,4,3,91
2021,Austin Lonestar TX,Colten Drake,,0.0,3,5,4,1,0,1,0,0,0,4,5,0,0,17
2021,Austin Lonestar TX,Sebastian Mejia,,0.2,2,3,3,0,1,0,0,2,0,4,6,0,1,24
2021,Austin Lonestar TX,Braden Shields,,2.0,2,0,0,0,4,1,0,0,0,8,8,2,0,29
2021,Austin Lonestar TX,Brycen Lee,,1.0,1,0,0,0,1,0,0,0,0,3,3,0,1,7
2021,Santa Barbara CA Foresters,Ben Abram,"W,1-0",5.0,5,1,1,1,7,0,0,0,0,19,20,4,4,58
2021,Santa Barbara CA Foresters,Brandon Beckel,,1.0,0,0,0,0,1,0,0,1,0,3,4,1,1,12
2021,Santa Barbara CA Foresters,Chase Webster,,1.0,0,0,0,0,2,0,0,0,0,3,3,0,1,10
2021,Santa Barbara CA Foresters,Gabriel Starks,,1.0,1,1,0,0,2,0,0,0,0,5,5,0,2,17
2021,Santa Barbara CA Foresters,Nick Proctor,,1.0,1,0,0,0,1,0,0,0,0,4,4,2,0,16
