year,team_name,player_name,ab,r,h,rbi
2024,Hays KS Larks,Kaiden Ashton,5,0,0,0
2024,Hays KS Larks,Kaleb Duncan,3,1,1,2
2024,Hays KS Larks,Will Carpenter,2,1,0,0
2024,Hays KS Larks,Garrett Gruell,4,2,2,0
2024,Hays KS Larks,Thomas Lyssy,4,0,0,0
2024,Hays KS Larks,Houston Russell,4,0,1,0
2024,Hays KS Larks,Wilbert Espinal,5,1,2,3
2024,Hays KS Larks,Taber Stokes,5,0,1,1
2024,Hays KS Larks,Trent Baker,3,2,2,0
2024,Hutchinson KS Monarchs,Camden Johnson,5,0,2,1
2024,Hutchinson KS Monarchs,Jaden Gustafson,3,0,0,1
2024,Hutchinson KS Monarchs,Will Edmunson,3,0,1,1
2024,Hutchinson KS Monarchs,Sam Wiese,4,0,1,0
2024,Hutchinson KS Monarchs,Reese Ratchford,4,0,0,0
2024,Hutchinson KS Monarchs,Jack Gardner,4,1,2,0
2024,Hutchinson KS Monarchs,Jarrett Flaggert,5,1,2,0
2024,Hutchinson KS Monarchs,Cooper Wesslund,5,1,1,0
2024,Hutchinson KS Monarchs,Brett Smajstrla,3,0,1,0
