year,champion,runner_up,championship_score,mvp,notes
1935,Bismarck ND Corwin-Churchills,Duncan OK Halliburtons,,,First tournament
1936,Duncan OK Halliburtons,Buford GA Bona Allens,,,
1937,Enid OK Eason Oilers,Buford GA Bona Allens,,,
1938,Buford GA Bona Allens,Enid OK Eason Oilers,,,
1939,Duncan OK Halliburtons,Mt. Pleasant TX Cubs,,,
1940,Enid OK Champlins,Mt. Pleasant TX Cubs,,,
1941,Enid OK Champlins,Waco TX Dons,,,
1942,Wichita KS Boeing Bombers,Waco TX Dons,,,
1943,Camp Wheeler GA Spokes,Enid OK Army Air Field,,,
1944,Sherman Field KS Flyers,Enid OK Army Air Field,,,
1945,Enid OK Army Air Field,Orlando FL Army Air Base,,,
1946,St. Joseph MI Auscos,Carmichael CA Firemen,,,
1947,Ft. Wayne IN G-E Club,Golden CO Coors,,,
1948,Ft. Wayne IN G-E Club,Elkin NC Chatham Blanketeers,,,
1949,Ft. Wayne IN G-E Club,Golden CO Coors,,,
1950,Ft. Wayne IN G-E Capehearts,Elk City OK Elks,,,
1951,Sinton TX Plymouth Oilers,Atwater CA Packers,,,
1952,Ft. Myer VA Military Dist. of WA,Ft. Leonard Wood MO Hilltoppers,,,
1953,Ft. Leonard Wood MO Hilltoppers,Wichita KS Boeing Bombers,,,
1954,Wichita KS Boeing Bombers,Springfield MO Generals,,,
1955,Wichita KS Boeing Bombers,Sinton TX Plymouth Oilers,,,
1956,Ft. Wayne IN Dairymen,Deming WA Loggers,,,
1957,Sinton TX Plymouth Oilers,Ft. Wayne IN Dairymen,,,
1958,Drain OR Black Sox,Alpine TX Cowboys,,,
1959,Houston TX Fed Mart,Elgin IL Athletics,,,
1960,Grand Rapids MI Sullivans,Ponchatoula LA Athletics,,,
1961,Ponchatoula LA Athletics,Grand Rapids MI Sullivans,,,
1962,Wichita KS Dreamliners,Fairbanks AK Goldpanners,,,
1963,Wichita KS Dreamliners,Ponchatoula LA Athletics,,,
1964,Wichita KS Glassmen,Fairbanks AK Goldpanners,,,
1965,Wichita KS Dreamliners,Liberal KS Bee Jays,,,
1966,Boulder CO Collegians,West Point MS Packers,,,
1967,Boulder CO Collegians,Honolulu HI Islanders,,,
1968,Liberal KS Bee Jays,Jackson MS Braves,,,
1969,Anchorage AK Glacier Pilots,Liberal KS Bee Jays,,,
1970,Grand Rapids MI Sullivans,Anchorage AK Glacier Pilots,,,
1971,Anchorage AK Glacier Pilots,Fairbanks AK Goldpanners,,,
1972,Fairbanks AK Goldpanners,Anchorage AK Glacier Pilots,,,
1973,Fairbanks AK Goldpanners,Liberal KS Bee Jays,,,
1974,Fairbanks AK Goldpanners,Boulder CO Collegians,,,
1975,Boulder CO Collegians,Fairbanks AK Goldpanners,,,
1976,Fairbanks AK Goldpanners,Anchorage AK Glacier Pilots,,,
1977,Kenai AK Oilers,Fairbanks AK Goldpanners,,,
1978,Boulder CO Collegians,Rapid City SD Macy's Diesels,,,
1979,Liberal KS Bee Jays,Santa Maria CA Indians,,,
1980,Fairbanks AK Goldpanners,Liberal KS Bee Jays,,,
1981,Clarinda IA A's,Liberal KS Bee Jays,,,
1982,Santa Maria CA Indians,Anchorage AK Glacier Pilots,,,
1983,Grand Rapids MI Sullivan-Polynesians,Fairbanks AK Goldpanners,,,
1984,Grand Rapids MI Sullivan-Polynesians,Liberal KS Bee Jays,,,
1985,Liberal KS Bee Jays,North Pole AK Nicks,,,
1986,Anchorage AK Glacier Pilots,Grand Rapids MI Sullivan-Polynesians,,,
1987,Mat-Su AK Miners,Wichita KS Broncos,,,
1988,Everett WA Merchants,Midlothian IL White Sox,,,
1989,Wichita KS Broncos,Grand Rapids MI Sullivans,,,
1990,Wichita KS Broncos,Midlothian IL White Sox,,,
1991,Anchorage AK Glacier Pilots,Kenai AK Peninsula Oilers,,,
1992,Midlothian IL White Sox,Liberal KS Bee Jays,,,
1993,Kenai AK Peninsula Oilers,Beatrice NE Bruins,,,
1994,Kenai AK Peninsula Oilers,Wichita KS Broncos,,,
1995,Team USA,Hays KS Larks,,,
1996,El Dorado KS Broncos,Tacoma WA Timbers,,,
1997,Mat-Su AK Miners,Nevada MO Griffons,,,
1998,El Dorado KS Broncos,Nevada MO Griffons,,,
1999,Dallas TX Phillies,Kenai AK Peninsula Oilers,,,
2000,Liberal KS Bee Jays,Hays KS Larks,,,
2001,Anchorage AK Glacier Pilots,Hays KS Larks,,,
2002,Fairbanks AK Goldpanners,Anchorage AK Glacier Pilots,,,
2003,Chinese Taipei,Santa Barbara CA Foresters,,,
2004,Aloha OR Knights,Mat-Su AK Miners,,,
2005,Prairie Gravel IL,Santa Barbara CA Foresters,,,
2006,Santa Barbara CA Foresters,Derby KS Twins,,,
2007,Havasu AZ Heat,Hays KS Larks,,,
2008,Santa Barbara CA Foresters,Seattle WA Studs,,,
2009,El Dorado KS Broncos,Anchorage AK Glacier Pilots,,,
2010,Liberal KS Bee Jays,Seattle WA Studs,2-1,Paul Gonzalez,
2011,Santa Barbara CA Foresters,Kenai AK Peninsula Oilers,4-2,Mitch Morman,
2012,Santa Barbara CA Foresters,Seattle WA Studs,6-2,Zach Fish,
2013,Santa Barbara CA Foresters,Seattle WA Studs,6-2,Zach Fish,
