Year,SourcePDF,Team,Player,Pos,G,AB,R,H,2B,3B,HR,SB,SH,RBI,PO,A,E,Pct
1940,1940_Top_10_OCR.pdf,Buford,Hyder,lf,5,17,6,7,,,,,,,,,,0.412
1940,1940_Top_10_OCR.pdf,Buford,McQuaig,cf,5,22,8,8,,,,,,,,,,0.364
1940,1940_Top_10_OCR.pdf,Buford,Shipley,2b,5,22,6,8,,,,,,,,,,0.364
1940,1940_Top_10_OCR.pdf,Buford,Harris,3b-ss,3,12,2,4,,,,,,,,,,0.333
1940,1940_Top_10_OCR.pdf,Buford,Baxter,rf,3,9,1,3,,,,,,,,,,0.333
1940,1940_Top_10_OCR.pdf,Buford,Collins,ss,1,3,0,1,,,,,,,,,,0.333
1940,1940_Top_10_OCR.pdf,Buford,Lyons,c,5,14,3,4,,,,,,,,,,0.286
1940,1940_Top_10_OCR.pdf,Buford,Dean,3b,5,22,8,6,,,,,,,,,,0.273
1940,1940_Top_10_OCR.pdf,Buford,Herrin,ss,5,15,1,4,,,,,,,,,,0.267
1940,1940_Top_10_OCR.pdf,Buford,Treadway,1b,5,24,2,5,,,,,,,,,,0.208
1940,1940_Top_10_OCR.pdf,Buford,Munns,p,4,5,1,1,,,,,,,,,,0.2
,,,,,,,,,,,,,,,,,,
1940,1940_Top_10_OCR.pdf,Chicago,A. Radcliff,3b,6,23,5,10,,,,,,,,,,0.435
1940,1940_Top_10_OCR.pdf,Chicago,Marshall,ss,6,19,5,8,,,,,,,,,,0.421
1940,1940_Top_10_OCR.pdf,Chicago,Hyde,2b,6,21,3,8,,,,,,,,,,0.381
1940,1940_Top_10_OCR.pdf,Chicago,Deal,1b,6,22,3,8,,,,,,,,,,0.364
1940,1940_Top_10_OCR.pdf,Chicago,Henderson,2b,2,3,1,1,,,,,,,,,,0.333
1940,1940_Top_10_OCR.pdf,Chicago,Bissant,lf,6,26,4,8,,,,,,,,,,0.308
1940,1940_Top_10_OCR.pdf,Chicago,Byas,c,6,21,6,5,,,,,,,,,,0.238
1940,1940_Top_10_OCR.pdf,Chicago,Powell,rf,6,21,4,5,,,,,,,,,,0.238
1940,1940_Top_10_OCR.pdf,Chicago,Davis,p,4,10,1,2,,,,,,,,,,0.2
1940,1940_Top_10_OCR.pdf,Chicago,Lloyd,cf,6,22,2,2,,,,,,,,,,0.091
,,,,,,,,,,,,,,,,,,
1940,1940_Top_10_OCR.pdf,Duncan,Coppock,c,5,17,5,9,,,,,,,,,,0.53
1940,1940_Top_10_OCR.pdf,Duncan,Pruitt,p,1,2,2,1,,,,,,,,,,0.5
1940,1940_Top_10_OCR.pdf,Duncan,Hassler,3b,5,16,4,6,,,,,,,,,,0.375
1940,1940_Top_10_OCR.pdf,Duncan,Utt,c,2,8,2,3,,,,,,,,,,0.375
1940,1940_Top_10_OCR.pdf,Duncan,Graves,cf,4,14,4,5,,,,,,,,,,0.357
1940,1940_Top_10_OCR.pdf,Duncan,Nance,lf,6,22,6,7,,,,,,,,,,0.318
1940,1940_Top_10_OCR.pdf,Duncan,Welch,ss,5,19,3,6,,,,,,,,,,0.316
1940,1940_Top_10_OCR.pdf,Duncan,Myer,1b,6,23,5,7,,,,,,,,,,0.304
