induction_year,name
2023,Kevin Hooper
2023,Mike Blue
2023,Bruce "Bruno" Konopka
2023,Myra Cunningham
2023,Mike Harkey
2023,Joe Martin
2023,Josh Robertson
2023,Roy Smalley III
2022,Pat Gillick
2022,William Storrs Jr.
2022,Dennis Walker
2021,Ellis Fergason Deal
2021,Mickey Deutschman
2021,Robert Homolka
2021,Nate Robertson
2019,Isaiah "Fireball" Jackson
2019,Steve McFarland
2019,Mike Moore
2019,Mark "Potts" Potter
2019,Rick Schroeder
2018,Ray Henningsen
2018,Mark Marquess
2018,Curtis Morgan
2018,Vern Frantz
2017,Al "Rusty" Gerhardt
2017,Loren Packard
2017,Douge Stokke
2017,Jack O'Donnell
2017,Wayne Elliott
2016,Alvin "Boomer" Jones
2016,Clyde Girrens
2016,Ken Marler
2016,Taylor Thompson
2016,Augie Garrido
2015,Emmett Ashford
2015,Gil Carter
2015,John Braden
2015,Ron Gardenhire
2015,Chris Hmielewski
2015,Frank Leo
2014,John Farrell
2014,Steve Kemp
2014,Gene Stephenson
2014,Bill Pintard
2014,Jerry Taylor
2013,Bob Steinkamp
2013,Richard Casidy
2013,Lance Berkman
2012,Bill "Spaceman" Lee
2012,Dennis Mattingly
2012,Joe Maddon
2012,Bob Sullivan
2011,Barry Aden
2011,Dick "Chief" Twyman
2011,Lefty Van Brunt
2011,Bob Considine
2010,Jerry Squires
2010,Terry Elliot
2010,Bob Carlile
2009,Betty Abbot
2009,Paul Roberts
2008,David Kingsman
2008,Burt Hooton
2008,Jess Bolen
2008,Mike Dean
2007,Herb Hess
2007,Andy Teter
2007,Arnold Ashley
2007,Robert Rich Jr.
2007,Melinda Rich
2006,JD Schneider
2006,Von Hayes
2006,Steve Shaad
2006,Robin Ventura
2005,Sonny Cashion
2005,Will Clark
2005,Harold Pyatte
2005,Bob Cerv
2004,Don Dennis
2004,Carl Kentling
2004,Mark Grace
2003,Buck O'Neil
2003,Merl Eberly
2003,Kirk Gibson
2003,Grier Jones
2002,Leonard Kelley
2002,Jack O'Toole
2002,Jim Dietz
2002,Tony Gwynn
2001,Barry Bonds
2001,Rafael Palmeiro
2001,Joe Garagiola
2000,John Olerud
2000,Dian Overraker
2000,Kirk Vuscko
1999,H.A. "Red" Boucher
1999,Ralph Winegarner
1999,Mark McGwire
1998,Bobby Bragan
1998,Bob Broeg
1998,Leo Mashak
1997,Bobby Boyd
1997,Randall D. Hubbard
1997,Clarence "Scoop" Nunes
1996,Harry Walker
1996,Carl Lewton
1996,Howard Minas
1995,Al Lamacchia
1995,Arnold "Jug" Thesenga
1995,Bob Gadberry
1994,Craig Nettles
1994,Daryl Spencer
1994,Bob Sullivan
1993,Roger Clemens
1993,Bert Wells
1992,Larry Davis
1992,Ozzie Smith
1992,Dick Sanders
1991,Raymond "Hap" Dumont
1991,Ralph Houk
1991,Satchel Paige
1991,Whitey Herzog
1991,Don Sutton
1991,Rick Monday
1991,Bob Boone
1991,Bauldie Moschetti
1991,Ron Guidry
1991,Tom Seaver
1991,Chris Chambliss
1991,Joe Carter
1991,Billy Martin
1991,Allie Reynolds
1991,Dave Winfield
