Year,SourcePDF,Team,Pitcher,G,W,L,IP,H,R,ER,BB,SO,WP,HB,Pct
1940,1940_Top_10_OCR.pdf,Buford,Lanning,3,0,1,,,,,5,10,,,0.000
1940,1940_Top_10_OCR.pdf,Buford,Munns,2,1,0,,,,,7,8,,,1.000
1940,1940_Top_10_OCR.pdf,Buford,Peckman,1,1,0,,,,,4,5,,,1.000
1940,1940_Top_10_OCR.pdf,Buford,Levy,1,1,0,,,,,1,3,,,1.000
1940,1940_Top_10_OCR.pdf,Buford,White,1,0,1,,,,,3,0,,,0.000
,,,,,,,,,,,,,,,
1940,1940_Top_10_OCR.pdf,Chicago,Davis,4,3,0,,,,,5,24,,,1.000
1940,1940_Top_10_OCR.pdf,Chicago,Markham,4,1,2,,,,,5,9,,,0.333
1940,1940_Top_10_OCR.pdf,Chicago,Cross,2,0,0,,,,,3,2,,,0.000
1940,1940_Top_10_OCR.pdf,Chicago,Reed,1,0,0,,,,,1,0,,,0.000
,,,,,,,,,,,,,,,
1940,1940_Top_10_OCR.pdf,Duncan,Struss,2,2,0,,,,,4,22,,,1.000
1940,1940_Top_10_OCR.pdf,Duncan,Pruitt,1,1,0,,,,,3,13,,,1.000
1940,1940_Top_10_OCR.pdf,Duncan,Parker,3,1,1,,,,,2,8,,,0.500
1940,1940_Top_10_OCR.pdf,Duncan,Stone,1,1,1,,,,,2,4,,,0.000
1940,1940_Top_10_OCR.pdf,Duncan,White,1,0,0,,,,,3,1,,,0.000
,,,,,,,,,,,,,,,
1940,1940_Top_10_OCR.pdf,Enid,Cauble,5,4,0,,,,,10,33,,,1.000
1940,1940_Top_10_OCR.pdf,Enid,McQuiston,3,2,0,,,,,5,11,,,1.000
1940,1940_Top_10_OCR.pdf,Enid,Milstead,2,1,1,,,,,1,5,,,0.500
1940,1940_Top_10_OCR.pdf,Enid,Atkinson,2,0,0,,,,,0,4,,,0.000
1940,1940_Top_10_OCR.pdf,Enid,Heath,1,0,0,,,,,1,1,,,0.000
,,,,,,,,,,,,,,,
1940,1940_Top_10_OCR.pdf,Houston,Jakucki,3,2,0,,,,,7,21,,,1.000
1940,1940_Top_10_OCR.pdf,Houston,Deutsch,2,2,0,,,,,3,6,,,1.000
1940,1940_Top_10_OCR.pdf,Houston,Evans,2,1,1,,,,,1,6,,,0.500
1940,1940_Top_10_OCR.pdf,Houston,Bumpers,3,1,1,,,,,7,5,,,0.500
1940,1940_Top_10_OCR.pdf,Houston,McGrew,2,0,0,,,,,2,3,,,0.000
,,,,,,,,,,,,,,,
1940,1940_Top_10_OCR.pdf,Mt. Pleasant,Biggers,5,3,1,,,,,4,24,,,0.750
1940,1940_Top_10_OCR.pdf,Mt. Pleasant,Griffin,4,2,1,,,,,2,9,,,0.667
1940,1940_Top_10_OCR.pdf,Mt. Pleasant,Thesenga,4,1,0,,,,,4,7,,,1.000
1940,1940_Top_10_OCR.pdf,Mt. Pleasant,Rushing,1,0,0,,,,,2,2,,,0.000
,,,,,,,,,,,,,,,
1940,1940_Top_10_OCR.pdf,Natrona,Sarver,3,2,1,,,,,14,8,,,0.667
1940,1940_Top_10_OCR.pdf,Natrona,Stanczak,3,0,1,,,,,9,6,,,0.000
1940,1940_Top_10_OCR.pdf,Natrona,Zema,3,1,0,,,,,5,3,,,1.000
1940,1940_Top_10_OCR.pdf,Natrona,Cheltko,1,0,0,,,,,0,2,,,0.000
,,,,,,,,,,,,,,,
1940,1940_Top_10_OCR.pdf,Sanford,Byrd,4,2,1,,,,,10,13,,,0.667
1940,1940_Top_10_OCR.pdf,Sanford,Butcher,3,0,1,,,,,8,11,,,0.000
1940,1940_Top_10_OCR.pdf,Sanford,Abernathy,2,1,1,,,,,13,10,,,0.500
1940,1940_Top_10_OCR.pdf,Sanford,Ray,2,1,0,,,,,9,8,,,1.000
,,,,,,,,,,,,,,,
1940,1940_Top_10_OCR.pdf,Wichita,Brady,2,1,1,,,,,4,8,,,0.500
1940,1940_Top_10_OCR.pdf,Wichita,Lang,1,1,0,,,,,0,6,,,1.000
1940,1940_Top_10_OCR.pdf,Wichita,Meadows,2,0,1,,,,,2,4,,,0.000
1940,1940_Top_10_OCR.pdf,Wichita,Hobein,1,1,0,,,,,3,3,,,1.000
,,,,,,,,,,,,,,,
1940,1940_Top_10_OCR.pdf,Worcester,Myllykangas,2,1,0,,,,,5,11,,,1.000
1940,1940_Top_10_OCR.pdf,Worcester,Hollstrum,2,1,0,,,,,3,3,,,1.000
1940,1940_Top_10_OCR.pdf,Worcester,Bourell,2,0,2,,,,,2,2,,,0.000
1940,1940_Top_10_OCR.pdf,Worcester,Gauch,2,0,2,,,,,2,2,,,0.000
1940,1940_Top_10_OCR.pdf,Worcester,Rendo,1,0,0,,,,,1,0,,,0.000
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Albuquerque (NM) Woods,Templeton,1,0,1,5.0,4,3,2,7,6,2,0,
1966,1966 NBC player stats OCR.pdf,Albuquerque (NM) Woods,Serda,1,0,1,2.1,2,5,4,4,4,0,0,
1966,1966 NBC player stats OCR.pdf,Albuquerque (NM) Woods,Randel,2,0,0,1.2,4,6,4,4,1,0,0,
1966,1966 NBC player stats OCR.pdf,Albuquerque (NM) Woods,E. Page,1,0,0,2.0,0,0,0,0,1,0,0,
1966,1966 NBC player stats OCR.pdf,Albuquerque (NM) Woods,Rubi,1,0,0,0.2,4,3,2,1,0,0,0,
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Batesville (AR),Richmond,3,1,1,17.2,17,11,10,7,16,0,0,
1966,1966 NBC player stats OCR.pdf,Batesville (AR),Dunavent,2,1,0,11.2,4,1,0,5,11,0,0,
1966,1966 NBC player stats OCR.pdf,Batesville (AR),Turnbull,1,1,0,5.1,5,4,4,5,8,0,0,
1966,1966 NBC player stats OCR.pdf,Batesville (AR),Hopkins,1,0,0,3.2,1,1,0,1,5,0,0,
1966,1966 NBC player stats OCR.pdf,Batesville (AR),McKay,1,0,0,1.1,5,6,6,1,3,0,0,
1966,1966 NBC player stats OCR.pdf,Batesville (AR),Brewer,1,0,1,4.1,4,1,0,2,2,0,0,
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Baton Rouge (LA) Rebels,Smith,3,0,1,12.0,10,5,3,5,10,1,0,
1966,1966 NBC player stats OCR.pdf,Baton Rouge (LA) Rebels,Hebert,2,0,1,3.2,8,8,5,6,7,0,0,
1966,1966 NBC player stats OCR.pdf,Baton Rouge (LA) Rebels,Toce,1,1,0,7.0,3,0,0,0,6,1,0,
1966,1966 NBC player stats OCR.pdf,Baton Rouge (LA) Rebels,Lee,2,1,0,7.0,5,2,0,3,4,0,0,
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Boulder (CO) Collegians,Hyman,8,2,1,26.0,13,2,1,5,25,0,0,
1966,1966 NBC player stats OCR.pdf,Boulder (CO) Collegians,Dukes,3,3,0,19.2,16,4,3,6,23,0,0,
1966,1966 NBC player stats OCR.pdf,Boulder (CO) Collegians,Willis,2,2,0,13.1,7,5,4,3,12,0,1,
1966,1966 NBC player stats OCR.pdf,Boulder (CO) Collegians,Carbajal,3,0,0,5.0,1,0,0,3,3,0,0,
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Lodes,3,2,0,14.1,19,10,8,2,11,1,0,
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Maxwell,1,0,1,7.0,3,2,2,3,4,1,0,
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Teeders,1,0,0,1.2,2,2,0,2,3,0,0,
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Cassie,1,0,0,5.0,2,4,1,6,2,0,0,
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Ward,2,0,0,4.0,4,2,2,3,0,0,0,
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Allan,1,0,1,1.0,3,4,4,2,0,0,0,
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,Vance,3,3,0,23.1,14,6,2,19,37,1,0,
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,Klinger,2,1,1,13.1,11,8,8,5,12,2,0,
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,Bendele,2,1,1,9.2,7,1,1,5,12,0,0,
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,Gonsalves,4,0,0,10.0,12,6,5,3,8,0,0,
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,Caviglia,1,0,0,1.0,2,4,4,2,1,2,0,
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,Graves,1,0,0,0.1,0,2,2,1,0,1,3,
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Grand Rapids (MI) Sullivan's,Goodrich,2,0,1,1.2,4,1,1,5,5,0,0,
1966,1966 NBC player stats OCR.pdf,Grand Rapids (MI) Sullivan's,Imhoff,1,1,0,8.1,7,2,2,5,3,1,1,
1966,1966 NBC player stats OCR.pdf,Grand Rapids (MI) Sullivan's,Klunder,1,0,0,6.0,6,3,3,3,2,1,1,
1966,1966 NBC player stats OCR.pdf,Grand Rapids (MI) Sullivan's,Devereux,3,0,1,3.2,7,6,2,1,1,0,0,
1966,1966 NBC player stats OCR.pdf,Grand Rapids (MI) Sullivan's,Johns,1,0,0,1.0,0,0,0,1,0,0,0,
,,,,,,,,,,,,,,,
