year,team_name,player_name,position,G,AB,R,H,2B,3B,HR,SB,SH,RBI,PO,A,E,Pct
1966,BOULDER (COLO.) COLLEGIANS (7-1),Riddock,ss,8,,,,,,,,,,,,,
1966,BOULDER (COLO.) COLLEGIANS (7-1),Henningsen,Bb,8,24,6,11,1,0,1,4,0,4,13,20,1,.468
1966,BOULDER (COLO.) COLLEGIANS (7-1),Moriarity,rf,8,26,5,5,1,0,1,0,0,4,7,0,0,.192
1966,BOULDER (COLO.) COLLEGIANS (7-1),Austin,If,8,26,9,7,2,0,2,2,0,3,9,0,1,.269
1966,BOULDER (COLO.) COLLEGIANS (7-1),Deisher,cf,8,24,5,7,1,0,1,3,1,5,18,1,2,.291
1966,BOULDER (COLO.) COLLEGIANS (7-1),Daly,c,8,26,3,6,1,0,1,0,0,3,64,2,1,.231
1966,BOULDER (COLO.) COLLEGIANS (7-1),Kochevar,Bb,8,23,5,3,0,0,1,0,1,3,3,15,2,.130
1966,BOULDER (COLO.) COLLEGIANS (7-1),Dukes,p,3,8,4,3,2,0,1,0,1,5,0,6,0,.375
1966,BOULDER (COLO.) COLLEGIANS (7-1),Carbajal,p,3,1,0,0,0,0,0,0,0,0,0,5,0,.000
1966,WEST POINT (MISS.) PACKERS (6-2),Williams,2b,7,26,4,10,3,0,0,1,0,5,7,15,1,.385
1966,WEST POINT (MISS.) PACKERS (6-2),M. McWilliams,rf,7,26,8,6,0,1,3,0,0,6,8,0,0,.231
1966,WEST POINT (MISS.) PACKERS (6-2),Goodwin,cf,2,8,0,6,1,0,0,0,0,1,1,0,0,.750
1966,WEST POINT (MISS.) PACKERS (6-2),G. McWilliams,p,1,1,0,0,0,0,0,0,1,0,1,0,0,.000
1966,WEST POINT (MISS.) PACKERS (6-2),Burchardt,p,4,8,1,0,0,0,0,0,0,1,0,2,0,.000
1966,EUREKA (CALIF.) HUMBOLDT CRABS (6-2),R. Bonomini,2b,7,27,3,6,2,0,0,0,2,3,7,14,1,.222
1966,EUREKA (CALIF.) HUMBOLDT CRABS (6-2),Marquess,lb,6,22,3,9,0,0,1,0,0,5,28,0,0,.409
1966,EUREKA (CALIF.) HUMBOLDT CRABS (6-2),Garrett,c,7,21,2,6,0,0,0,0,2,7,81,3,0,.286
1966,EUREKA (CALIF.) HUMBOLDT CRABS (6-2),Vance,p,3,11,1,3,1,0,0,0,0,1,0,3,0,.278
1966,EUREKA (CALIF.) HUMBOLDT CRABS (6-2),Gonsalves,p,4,2,0,0,0,0,0,0,0,0,0,0,1,.000
1966,EUREKA (CALIF.) HUMBOLDT CRABS (6-2),Dyer,3b,5,12,2,5,2,0,0,0,1,4,3,6,1,.417
1966,EUREKA (CALIF.) HUMBOLDT CRABS (6-2),Klinger,p,2,5,0,0,0,0,0,0,0,0,0,1,0,.000
1966,EUREKA (CALIF.) HUMBOLDT CRABS (6-2),Bendele,p,2,4,0,1,0,0,0,0,1,0,0,4,0,.250
1966,EUREKA (CALIF.) HUMBOLDT CRABS (6-2),Caviglia,p,1,0,0,0,0,0,0,0,0,0,0,0,0,.000
1966,EUREKA (CALIF.) HUMBOLDT CRABS (6-2),Markus,2b,8,23,7,7,1,0,0,1,0,3,18,21,1,.304
1966,EUREKA (CALIF.) HUMBOLDT CRABS (6-2),Robertson,rf,6,13,1,1,0,0,1,0,0,2,9,0,2,.077
1966,EUREKA (CALIF.) HUMBOLDT CRABS (6-2),DeGregoire,cf,8,29,7,8,0,0,1,3,0,7,19,0,0,.276
1966,EUREKA (CALIF.) HUMBOLDT CRABS (6-2),Wickman,p,3,9,1,2,0,0,0,0,0,1,0,3,0,.222
1966,LUBBOCK (TEX.) RUBBERS (4-2),Dement,lf,6,23,3,7,2,0,2,1,0,6,5,0,0,.304
1966,LUBBOCK (TEX.) RUBBERS (4-2),G. Washington,lb,5,16,3,6,0,0,2,1,0,5,35,5,1,.375
1966,LUBBOCK (TEX.) RUBBERS (4-2),Moss,rf,5,20,2,5,1,0,0,0,0,1,4,0,0,.250
1966,LUBBOCK (TEX.) RUBBERS (4-2),M. Washington,lf,5,16,4,7,0,0,2,0,0,4,5,0,0,.438
1966,LUBBOCK (TEX.) RUBBERS (4-2),Callaway,ss,5,18,2,8,0,0,0,8,0,3,12,12,2,.444
1966,LUBBOCK (TEX.) RUBBERS (4-2),Turnbull,p,1,2,0,1,0,0,0,0,1,1,0,1,0,.500
1966,LUBBOCK (TEX.) RUBBERS (4-2),Hopkins,p,2,2,0,0,0,0,0,0,0,0,0,0,0,.000
1966,LUBBOCK (TEX.) RUBBERS (4-2),Dunavent,p,2,4,0,0,0,0,0,0,0,0,1,1,0,.000
1966,LUBBOCK (TEX.) RUBBERS (4-2),Richmond,p,3,8,2,3,0,1,0,0,0,1,3,2,0,.375
1966,LUBBOCK (TEX.) RUBBERS (4-2),Hardiman,lb,4,17,4,8,1,1,1,0,0,3,37,1,0,.471
1966,LUBBOCK (TEX.) RUBBERS (4-2),Deffenbaugh,rf,1,2,1,0,0,0,0,1,1,2,1,0,0,.000
1966,LUBBOCK (TEX.) RUBBERS (4-2),Maxwell,p,1,2,0,0,0,0,0,0,0,0,0,1,0,.000
1966,MIDDLESEX (N.C.) JOHNSTON COUNTY STARS (3-2),Renfrow,cf,4,11,0,1,0,0,0,0,1,0,5,1,0,.091
1966,MIDDLESEX (N.C.) JOHNSTON COUNTY STARS (3-2),Bullard,If,4,12,3,3,0,0,1,1,0,1,2,1,2,.250
1966,MIDDLESEX (N.C.) JOHNSTON COUNTY STARS (3-2),Sasser,ss,4,13,1,3,1,0,0,0,1,0,7,11,5,.231
1966,MIDDLESEX (N.C.) JOHNSTON COUNTY STARS (3-2),Morris,lb,4,9,2,1,0,0,0,0,0,0,34,0,1,.111
1966,MIDDLESEX (N.C.) JOHNSTON COUNTY STARS (3-2),Cashion,3b,4,14,2,5,0,1,1,0,1,4,4,11,3,.357
1966,MIDDLESEX (N.C.) JOHNSTON COUNTY STARS (3-2),tephenson,p,3,6,1,2,0,0,0,0,2,0,0,6,0,.333
1966,MIDDLESEX (N.C.) JOHNSTON COUNTY STARS (3-2),Weaver,lb,1,1,0,0,0,0,0,0,0,1,6,0,0,.000
1966,MILWAUKEE (WISC.) ALLEN-BR.ADLEY (2-2).,Brzenk,ss,4.,13,2,1,0,0,0,0,0,0,4,15,0,.077
1966,MILWAUKEE (WISC.) ALLEN-BR.ADLEY (2-2).,Williamson,2b,4,13,3,2,0,0,0,2,0,1,9,5,1,.154
1966,MILWAUKEE (WISC.) ALLEN-BR.ADLEY (2-2).,Tarrolly,rf,4,14,3,5,1,0,1,1,0,5,3,1,0,.357
1966,MILWAUKEE (WISC.) ALLEN-BR.ADLEY (2-2).,Kaminski,If,4,11,2,4,1,0,0,2,1,2,8,1,0,.364
1966,MILWAUKEE (WISC.) ALLEN-BR.ADLEY (2-2).,tarck,p,3,3,0,1,0,0,0,0,0,0,0,5,0,.333
1966,MILWAUKEE (WISC.) ALLEN-BR.ADLEY (2-2).,Hetzel,3b,1,4,0,1,0,0,0,0,0,1,1,2,0,.250
1966,MILWAUKEE (WISC.) ALLEN-BR.ADLEY (2-2).,Bennett,p,1,1,0,0,0,0,0,0,0,0,0,1,0,.000
1966,LIBERAL (KAS.) BEEJAYS (2-2),Monzon,3b,4,12,4,1,0,0,0,2,0,1,2,7,2,.083
1966,LIBERAL (KAS.) BEEJAYS (2-2),Griffith,If,4,12,4,2,0,0,1,0,0,4,5,1,1,.167
1966,LIBERAL (KAS.) BEEJAYS (2-2),Matthews,rf,4,15,3,3,0,0,0,1,0,1,9,0,0,.200
1966,LIBERAL (KAS.) BEEJAYS (2-2),J. Henderson,c,4,14,2,1,0,0,0,0,0,1,27,1,0,.071
1966,LIBERAL (KAS.) BEEJAYS (2-2),Cain,ss,4,11,2,0,0,0,0,0,1,2,4,12,4,.000
1966,LIBERAL (KAS.) BEEJAYS (2-2),Hammett,p,2,3,0,0,0,0,0,0,1,0,1,4,0,.000
1966,LIBERAL (KAS.) BEEJAYS (2-2),Toomey,p,2,1,0,0,0,0,0,0,1,1,1,2,0,.000
1966,LIBERAL (KAS.) BEEJAYS (2-2),Newkirk,p,3,1,0,0,0,0,0,0,1,0,0,0,0,.000
1966,LIBERAL (KAS.) BEEJAYS (2-2),Johnson,p,2,0,0,0,0,0,0,0,0,0,0,0,0,.000
1966,BATON ROUGE (LA.) REBELS (2-2),G. Bracken,2b,4,11,0,1,0,0,0,0,2,0,8,10,1,.091
1966,TUCSON (ARIZ.) JACK ELLIS SPORTING GOODS (2-2),Casanega,2b,4,16,5,3,2,0,0,0,0,2,8,7,0,.188
1966,TUCSON (ARIZ.) JACK ELLIS SPORTING GOODS (2-2),Maxwell,ss,4,17,3,4,1,1,0,0,0,3,6,11,0,.235
1966,TUCSON (ARIZ.) JACK ELLIS SPORTING GOODS (2-2),G. Cota Robles,p,1,3,0,0,0,0,0,0,0,0,0,1,0,.000
1966,TUCSON (ARIZ.) JACK ELLIS SPORTING GOODS (2-2),Hinton,p,2,3,1,2,0,0,0,0,0,0,0,0,0,.667
1966,TUCSON (ARIZ.) JACK ELLIS SPORTING GOODS (2-2),Martin,p,2,2,0,0,0,0,0,0,1,0,0,1,0,.000
1966,GRAND RAPIDS (MICH.) SULLIVAN'S (1-2),Hofmann,lf,3,5,1,1,0,0,0,1,1,0,5,1,0,.200
1966,GRAND RAPIDS (MICH.) SULLIVAN'S (1-2),Devereux,p,3,0,0,0,0,0,0,0,0,0,0,3,1,.000
1966,GRAND RAPIDS (MICH.) SULLIVAN'S (1-2),Goodrich,p,2,3,0,0,0,0,0,0,0,0,0,1,1,.000
1966,GRAND RAPIDS (MICH.) SULLIVAN'S (1-2),Imhoff,p,1,4,0,1,0,0,0,0,0,0,1,3,1,.250
1966,GRAND RAPIDS (MICH.) SULLIVAN'S (1-2),Rumohr,p,2,1,0,0,0,0,0,0,0,0,0,0,0,.000
1966,GRAND RAPIDS (MICH.) SULLIVAN'S (1-2),Walcott,p,1,0,0,0,0,0,0,0,0,0,0,0,0,.000
1966,SMITHFIELD (UTAH) (1-2),Atkinson,lf,2,3,2,1,0,0,0,0,0,0,0,0,0,.333
1966,SMITHFIELD (UTAH) (1-2),Geames,c,2,5,2,4,1,0,0,0,0,2,19,1,1,.800
1966,SMITHFIELD (UTAH) (1-2),Karren,3b,2,7,2,4,1,0,0,0,0,3,2,2,0,.571
1966,SMITHFIELD (UTAH) (1-2),Christensen,cf,2,5,0,0,0,0,0,0,0,0,3,1,0,.000
1966,SMITHFIELD (UTAH) (1-2),Obray,lf,1,2,0,0,0,0,0,0,0,0,0,0,0,.000
1966,SMITHFIELD (UTAH) (1-2),Mather,rf,1,0,0,0,0,0,0,0,0,0,1,0,0,.000
1966,VALDOSTA (GA.) VFW RED SOX (1-2),Payne,c,3,10,1,1,0,0,1,0,0,1,28,4,1,.100
1966,VALDOSTA (GA.) VFW RED SOX (1-2),Barnes,rf,3,9,1,2,0,0,0,0,0,0,5,0,0,.222
1966,VALDOSTA (GA.) VFW RED SOX (1-2),lark,p,2,4,0,0,0,0,0,0,1,0,0,3,0,.000
1966,VALDOSTA (GA.) VFW RED SOX (1-2),Billingham,p,2,0,0,0,0,0,0,0,0,0,0,0,0,.000
1966,VALLEY STREAM (N.Y.) ACME PLUMBING SUPPLY (1-2),Ousack,ss,3,13,1,3,0,0,0,0,0,0,4,2,0,.231
1966,VALLEY STREAM (N.Y.) ACME PLUMBING SUPPLY (1-2),Ruris,3b,3,11,2,2,0,0,0,1,1,1,5,4,0,.182
1966,VALLEY STREAM (N.Y.) ACME PLUMBING SUPPLY (1-2),La Rocca,c,3,9,1,3,1,0,0,0,0,1,23,3,0,.333
1966,VALLEY STREAM (N.Y.) ACME PLUMBING SUPPLY (1-2),Frohman,rf,3,8,1,2,0,0,0,0,0,0,7,0,0,.250
1966,VALLEY STREAM (N.Y.) ACME PLUMBING SUPPLY (1-2),Roth,p,2,2,0,1,0,0,0,0,0,0,0,2,1,.500
1966,VALLEY STREAM (N.Y.) ACME PLUMBING SUPPLY (1-2),Schwartz,p,2,2,1,0,0,0,0,0,0,0,1,0,0,.000
1966,OKLAHOMA CITY(OKLA.) DONS (1-2),McDonald,2b,3,11,2,4,0,0,1,0,0,1,7,9,0,.364
1966,LANSING (ILL.) OLD TIMERS (1-2),Teutemacher,p,2,1,0,0,0,0,0,0,0,0,1,3,0,.000
1966,LANSING (ILL.) OLD TIMERS (1-2),Green,If,1,3,0,0,0,0,0,0,0,0,0,0,0,.000
1966,HUNTSVILLE (ALA. . ) INDEPENDENTS (1-2),Sumners,3b,1,2,1,1,0,0,0,0,0,0,1,0,0,.500
1966,SLATER (IOWA) NITE HAWKS (1-2),Greene,p,1,0,0,0,0,0,0,0,0,0,0,0,0,.000
1966,SLATER (IOWA) NITE HAWKS (1-2),Marineav,cf,2,5,0,2,0,0,0,0,0,0,3,0,0,.400
1966,"NORTH PLATTE (NEB,) GULF OILEBIS (1-2)",Salberg,ss,3,11,1,2,0,0,0,0,0,1,2,8,0,.182
1966,"NORTH PLATTE (NEB,) GULF OILEBIS (1-2)",Walters,cf,3,11,2,2,1,0,0,0,0,1,4,0,0,.182
1966,"NORTH PLATTE (NEB,) GULF OILEBIS (1-2)",Moscrey,2b,3,9,2,4,0,0,1,0,0,2,4,10,0,.444
1966,"NORTH PLATTE (NEB,) GULF OILEBIS (1-2)",Lewis,If,3,4,1,1,0,0,0,0,0,0,0,0,0,.260
1966,"NORTH PLATTE (NEB,) GULF OILEBIS (1-2)",Miller,p,1,2,0,0,0,0,0,0,1,0,0,3,0,.000
1966,ALBUQUERQUE (N.M.) WOODS (0-2),R. Page,88,2,4,1,1,0,0,0,0,1,0,1,1,1,.250
